Código,Buque,Folio,Código UE,Código MMSI,Código Radio,Baja,Fecha baja,Observaciones,Año construcción,Fecha metier,Metier principal,Metier secundario,Fecha puerto base,Puerto base,Fecha características técnicas,TRB,GT,Eslora,Potencia,Caladero principal,Tipo pesca principal,Segmento,Varios,CensoPorModalidad,Notas
2460,A Gaveira,3FE230-06,ESP000022095,224043180,EB7435,FALSO,,,1991,01/01/2019,PS_SPF_0_0_0,LHM_SPF_0_0_0,01/01/2019,Celeiro,01/01/2019,17.6,32,18.2,195,CERCO EN CANTABRICO NW,,Bajura,,CERCO EN CANTABRICO NW,
847,A Tenencia (ex Maria Javier),3CO73618,ESP000021641,224003580,EA3884,FALSO,,,1989,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Sada,01/01/2019,63.12,61,21.32,425,CERCO EN CANTABRICO NW,Cerco,Cerco,,CERCO EN CANTABRICO NW,
2,Abasolo,3BI22578,ESP000000170,,,VERDADERO,29/05/2006,,1971,01/01/2019,GNS_DEF_60-79_0_0,LTL_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,18.8,19,15,128,ARTES MENORES EN CANTABRICO NW,Artes Menores,,,ARTES MENORES EN CANTABRICO NW,
2329,Abelan Uno,3GI51-95,ESP000023265,224313150,EB2568,FALSO,,Propietarios del antiguo Hemendik (Luis) que se hundió en febrero 2010,1995,01/01/2019,GNS_DEF_60-79_0_0,,01/01/2019,Pasaia,01/01/2019,5.26,5.85,9.25,24,ARTES MENORES EN CANTABRICO NW,,Artes Menores,,ARTES MENORES EN CANTABRICO NW,
1444,Abiko (ex Hermanos Yañez),UL577,GBR000B13955,,,VERDADERO,13/06/2012,,1986,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Ullapool,01/01/2019,117.25,179.87,23.72,624,,,,,Pabellón extranjero,
2223,Abra de Aguiño,3VILL1406,ESP000026741,224192570,ECKS,FALSO,,Entrada en servicio 27/07/2006,2006,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Santa Uxia de Ribeira,01/01/2019,85.9,113,27.14,380,CERCO EN CANTABRICO NW,,Bajura,,CERCO EN CANTABRICO NW,
2652,Abra de Muxia (ex El Patron),3GI71-92,ESP000022321,224019420,EA5692,FALSO,,,1992,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Muxia,01/01/2019,30.72,69.43,19,145,PALANGRE DE FONDO EN CANTABRICO NW,PALANGRE DE FONDO,Bajura,,PALANGRE DE FONDO EN CANTABRICO NW,
2679,Abrela,3VI59-99,ESP000024284,,EAVW,FALSO,,,1999,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Celeiro,01/01/2019,,363,35.6,390,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIa",,,,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde",
1513,Acantilado de los Gigantes,3TE13813,ESP000001152,,,VERDADERO,12/02/1997,,1973,,,,01/01/2019,Bermeo,,,,,,,,,,,
1347,Adina,D665,IRL000I11618,,,VERDADERO,26/05/2004,,1993,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Dublin,01/01/2019,,300,33.53,615,,,,,Pabellón extranjero,
