"IdBuque","fcCambio","Nombre","CodigoCFR","EsloraTotal","EsloraPP","ArqueoGT","FechaCambioDatosTecnicos","FechaCambioDatosMotor","PotenciaPropulsionTotalKW","FcCambioIdentificacion","PuertoBase","AL5_PuertoBase","ProvinciaPuertoBase","CensoPorModalidad","FcEfectoInicial","fcCambio2"
26461,2014-11-17,"ANGELITO","ESP000000549",5.54,NA,0.89,1989-05-10,2014-11-17,16.18097,1989-05-10,"Muros","ESMRS","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",1989-05-10,2014-11-17
26470,2017-08-21,"LAVANDEIRA","ESP000000561",5.6,NA,1.29,1989-05-10,2017-08-21,14.70997,2003-05-30,"Noia","ESNOA","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",1989-05-10,2017-08-21
26478,2011-02-02,"MARCELO","ESP000000570",5.53,NA,0.99,1989-05-10,2011-02-02,22.06496,2005-07-04,"Noia","ESNOA","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",1989-05-10,2011-02-02
26487,2017-10-10,"PESCADOR SEGUNDO","ESP000000582",5.55,NA,1.25,1989-05-10,2017-10-10,14.70997,1989-05-10,"Muros","ESMRS","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",1989-05-10,2017-10-10
26493,2018-06-20,"BERTA IV","ESP000000590",5.32,NA,1.16,1989-05-10,2017-07-18,3.67749,2018-06-20,"Muros","ESMRS","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",1989-05-10,2018-06-20
26530,1991-06-04,"MIÑO","ESP000000631",10.9,NA,6.49,1989-05-10,1991-06-04,55.1624,1989-05-10,"Portonovo","ESZJN","PONTEVEDRA","ARTES MENORES EN CANTABRICO NW",1989-05-10,1991-06-04
26602,1999-03-12,"ESPERANZA DEL MAR","ESP000000719",9.9,NA,4.66,1989-05-10,1989-05-10,44.86542,1999-03-12,"Agaete","ESAGA","LAS PALMAS","ARTES MENORES EN CANARIAS",1989-05-10,1999-03-12
26625,2000-01-03,"ALBACORA CUATRO","ESP000000755",83.45,71.35,2082,1999-06-07,2000-01-03,2941.995,1989-05-10,"Vigo","ESVGO","PONTEVEDRA","ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO",1989-05-10,2000-01-03
26632,2017-06-28,"EL BARRANCO","ESP000000763",17.64,15.86,46.54,2015-07-28,1991-02-14,154.45473,2017-06-28,"Almería","ESLEI","ALMERIA","CERCO EN EL MEDITERRANEO",1989-05-10,2017-06-28
26634,2011-01-19,"EL PARALERO","ESP000000765",13.39,NA,13.1,1989-05-10,2011-01-19,82.37586,1989-05-10,"Vilanova y la Geltrú","ESVLG","BARCELONA","CERCO EN EL MEDITERRANEO",1989-05-10,2011-01-19
26645,2015-09-07,"MARI SOL","ESP000000778",10.4,NA,8.23,1999-10-26,2015-09-07,33.09,1989-06-14,"Tarragona","ESTAR","TARRAGONA","ARRASTRE DE FONDO EN EL MEDITERRANEO",1989-05-10,2015-09-07
26646,1997-02-01,"MARIA","ESP000000779",6.1,NA,2.12,1989-05-10,1989-05-10,36.77493,1997-02-01,"Arenys de Mar","ESARN","BARCELONA","ARTES MENORES EN EL MEDITERRANEO",1989-05-10,1997-02-01
26648,1989-05-10,"COSTA CASTELL","ESP000000781",8.7,7,3.56,1989-05-10,1989-05-10,30.89094,1989-05-10,"Vilanova y la Geltrú","ESVLG","BARCELONA","ARTES MENORES EN EL MEDITERRANEO",1989-05-10,1989-05-10
26649,1993-06-17,"PILAR PEÑA","ESP000000782",20.08,18.9,49.43,1989-05-10,1993-06-17,220.64962,1989-05-10,"Vilanova y la Geltrú","ESVLG","BARCELONA","ARRASTRE DE FONDO EN EL MEDITERRANEO",1989-05-10,1993-06-17
26652,2008-05-27,"CAMPEADOR","ESP000000786",9.05,NA,5.79,1989-05-10,1992-01-01,23.53596,2008-05-27,"Vilanova y la Geltrú","ESVLG","BARCELONA","ARRASTRE DE FONDO EN EL MEDITERRANEO",1989-05-10,2008-05-27
26657,2011-01-27,"BUTELLA","ESP000000792",17.25,NA,26.55,1989-05-10,2011-01-27,187.55218,1989-05-10,"Vilanova y la Geltrú","ESVLG","BARCELONA","CERCO EN EL MEDITERRANEO",1989-05-10,2011-01-27
26659,2008-09-03,"PATRICIO","ESP000000794",8.94,NA,2.75,1989-05-10,1989-05-10,16.91647,2008-09-03,"Almería","ESLEI","ALMERIA","ARRASTRE DE FONDO EN EL MEDITERRANEO",1989-05-10,2008-09-03
26682,1989-05-10,"ENCARNA","ESP000000819",6.62,6.4,1.89,1989-05-10,1989-05-10,22.06496,1989-05-10,"San Pol de Mar","ESZME","BARCELONA","ARTES MENORES EN EL MEDITERRANEO",1989-05-10,1989-05-10
26689,1997-10-01,"JOAQUINA","ESP000000828",9.92,8.27,4.67,1989-05-10,1989-05-10,44.12992,1997-10-01,"Algeciras","ESALG","CADIZ","CERCO EN EL MEDITERRANEO",1989-05-10,1997-10-01
26697,2017-05-30,"COSTA DE ADRA","ESP000000837",17.48,15.08,26.71,1989-05-10,1989-11-24,172.8422,2017-05-30,"Adra","ESADR","ALMERIA","CERCO EN EL MEDITERRANEO",1989-05-10,2017-05-30
26700,2015-12-31,"PESCALBA DOS","ESP000000840",16.99,15.8,37.16,1989-05-10,1989-05-10,220.64962,2015-12-31,"Barcelona","ESBCN","BARCELONA","CERCO EN EL MEDITERRANEO",1993-12-01,2015-12-31
26810,1989-05-10,"PLAYA DEL PINET","ESP000000977",10.4,NA,5.45,1989-05-10,1989-05-10,75.02087,1989-05-10,"Santa Pola","ESSPO","ALICANTE","ARTES MENORES EN EL MEDITERRANEO",1989-05-10,1989-05-10
26815,2000-02-25,"LUISA Y JOSE","ESP000000982",10.25,8.5,4.76,1989-05-10,2000-02-25,62.51739,1989-05-10,"Santa Pola","ESSPO","ALICANTE","ARTES MENORES EN EL MEDITERRANEO",1989-05-10,2000-02-25
26816,2003-06-30,"BAUTISTA","ESP000000983",9.45,6.1,3.94,2003-06-30,1995-11-14,46.33642,1989-05-10,"Alicante","ESALC","ALICANTE","ARTES MENORES EN EL MEDITERRANEO",1989-05-10,2003-06-30
26838,2009-02-09,"CURNIOLA","ESP000001011",11.36,NA,8.15,1989-05-10,2009-02-09,70.60788,1989-05-10,"Ciudadela","ESQIU","BALEARES","ARTES MENORES EN EL MEDITERRANEO",1989-05-10,2009-02-09
26839,2004-09-22,"DESEO","ESP000001012",8.6,NA,3.06,1989-05-10,2004-09-22,60.31089,1990-05-09,"Ibiza","ESIBZ","BALEARES","ARTES MENORES EN EL MEDITERRANEO",1990-05-09,2004-09-22
26843,2003-07-24,"IBIS TERCERO","ESP000001019",8.48,NA,2.3,1989-05-10,2003-07-24,41.18793,1989-05-10,"Ciudadela","ESQIU","BALEARES","ARTES MENORES EN EL MEDITERRANEO",1989-05-10,2003-07-24
26845,1989-05-10,"JUANITA","ESP000001022",9.35,NA,3.23,1989-05-10,1989-05-10,33.83294,1989-05-10,"Ciudadela","ESQIU","BALEARES","ARTES MENORES EN EL MEDITERRANEO",1989-05-10,1989-05-10
26846,2007-10-02,"LLUM I VIDA","ESP000001023",8.85,NA,3.5,1989-05-10,2005-11-04,63.25289,2007-10-02,"Ibiza","ESIBZ","BALEARES","ARTES MENORES EN EL MEDITERRANEO",1989-05-10,2007-10-02
26848,2007-03-27,"MERCEDES","ESP000001027",7.3,NA,1.6,1989-05-10,2007-03-27,33.09744,1989-05-10,"Ciudadela","ESQIU","BALEARES","ARTES MENORES EN EL MEDITERRANEO",1989-05-10,2007-03-27
26944,2011-11-10,"AURA DEL CARMEN","ESP000001146",13.08,12.9,10.46,1999-10-26,2000-10-04,138.27376,2011-11-10,"Taliarte - Melenara","ESTAN","LAS PALMAS","ARTES MENORES EN CANARIAS",1989-05-10,2011-11-10
26946,2012-06-20,"CLUB MERY","ESP000001148",11.1,9.8,6.04,1992-11-19,1995-02-23,72.07887,2012-06-20,"Orzola","ESOZL","LAS PALMAS","ARTES MENORES EN CANARIAS",1992-11-19,2012-06-20
26957,2016-08-09,"MARIA ISABEL","ESP000001161",8.12,NA,2.26,1989-05-10,2009-06-10,11.76798,2016-08-09,"Puerto del Carmen","ESPUC","LAS PALMAS","ARTES MENORES EN CANARIAS",1989-05-10,2016-08-09
26957,2019-04-24,"MARIA ISABEL","ESP000001161",8.12,NA,2.26,1989-05-10,2009-06-10,11.76798,2019-04-24,"Playa Blanca","ESQLY","LAS PALMAS","ARTES MENORES EN CANARIAS",1989-05-10,2019-04-24
26958,2018-11-15,"TEIDE SEGUNDO","ESP000001162",15.94,13.8,17.87,1989-05-10,2018-11-15,95.59,2018-08-01,"Arrecife de Lanzarote","ESACE","LAS PALMAS","ARTES MENORES EN CANARIAS",1989-05-10,2018-11-15
26959,2018-08-30,"SAN LORENZO","ESP000001163",7.8,NA,2.4,2018-08-30,1999-06-29,5.22204,2017-06-08,"La Restinga","ESLAF","SANTA CRUZ DE TENERIFE","ARTES MENORES EN CANARIAS",1989-05-10,2018-08-30
26962,2017-11-22,"TABARCA","ESP000001166",8.33,NA,2.32,2007-12-14,1989-05-10,5.14849,2017-11-22,"La Restinga","ESLAF","SANTA CRUZ DE TENERIFE","ARTES MENORES EN CANARIAS",1989-05-10,2017-11-22
26964,2009-06-02,"HALCON","ESP000001168",9.7,NA,5,1989-05-10,1989-05-10,74.02059,2009-06-02,"Playa San Juan - Guia Isora","ESPSJ","SANTA CRUZ DE TENERIFE","ARTES MENORES EN CANARIAS",2002-10-25,2009-06-02
26965,2009-03-25,"AFORTUNADO","ESP000001169",7.6,6.65,1.9,2009-03-25,2009-03-24,26.47795,2006-06-21,"La Restinga","ESLAF","SANTA CRUZ DE TENERIFE","ARTES MENORES EN CANARIAS",1989-05-10,2009-03-25
26968,2017-09-06,"LA NIÑA","ESP000001174",5.34,NA,0.72,1989-05-10,2017-09-06,5.51624,2017-06-08,"El Pris - Tacoronte","ESZMG","SANTA CRUZ DE TENERIFE","ARTES MENORES EN CANARIAS",1989-05-10,2017-09-06
26977,2015-12-01,"ESTRELLA DEL NORTE II","ESP000001183",12.8,11.07,15.7,1989-05-10,2009-02-20,117.6798,2012-10-05,"Playa San Juan - Guia Isora","ESPSJ","SANTA CRUZ DE TENERIFE","ARTES MENORES EN CANARIAS",2015-12-01,2015-12-01
26978,2009-01-29,"IRIMAR DEL CARMEN","ESP000001184",10.95,10.3,6.16,1989-05-10,1998-03-23,70.60788,2009-01-29,"Taliarte - Melenara","ESTAN","LAS PALMAS","ARTES MENORES EN CANARIAS",1989-05-10,2009-01-29
26978,2019-05-15,"IRIMAR DEL CARMEN","ESP000001184",10.95,10.3,6.16,1989-05-10,1998-03-23,70.60788,2019-05-15,"Tazacorte","ESTAZ","SANTA CRUZ DE TENERIFE","ARTES MENORES EN CANARIAS",1989-05-10,2019-05-15
27172,1991-03-01,"DOS AMIGOS","ESP000001412",9.63,8.12,4.81,1989-05-10,1991-03-01,36.77493,1989-05-10,"Benicarlo","ESBNI","CASTELLON","ARTES MENORES EN EL MEDITERRANEO",1989-05-10,1991-03-01
27172,2019-02-19,"DOS AMIGOS","ESP000001412",9.63,8.12,4.81,1989-05-10,1991-03-01,36.77493,2019-02-19,"Peñíscola","ESPNL","CASTELLON","ARTES MENORES EN EL MEDITERRANEO",1989-05-10,2019-02-19
