"Nombre.Oficial";"Peso.Ventas_POSA";"Peso.Ventas_noPOSA";"Peso.NV_POSA";"Peso.NV_noPOSA";"Peso.Ventas.Total";"Ventas.percentPOSA";"Peso.NV.Total";"NV.percentPOSA"
"0";0;0;0;0;0;NA;0;NA
"Abadejo";0;232,43;0;182,7;232,43;"0%";182,7;"0%"
"Acedia";0;0;0;60,8;0;NA;60,8;"0%"
"Aligote";0;0;0;35,5;0;NA;35,5;"0%"
"Bacalao";0;666,96999996;0;1339,5;666,96999996;"0%";1339,5;"0%"
"Bejel";0;728,6;0;0;728,6;"0%";0;NA
"Boga";0;90;0;133;90;"0%";133;"0%"
"Breca";0;0;0;58;0;NA;58;"0%"
"Brotola de fango (Phycis blennoides)";4,84;34664,32;2206,5;32042,8;34669,16;"0%";34249,3;"6%"
"Buey";0;201,5;0;379;201,5;"0%";379;"0%"
"Cabra (Helicolenus dactylopterus)";5497;23402,8;6165,56;21739,1;28899,8;"19%";27904,66;"22%"
"Cabracho";0;46,5;0;0;46,5;"0%";0;NA
"Calamares Loliginidae";0;190,4;0;0;190,4;"0%";0;NA
"Calamares Loligo spp.";0;5406,7;0;11596,5;5406,7;"0%";11596,5;"0%"
"Carbonero - fogonero";0;26,51;0;19,5;26,51;"0%";19,5;"0%"
"Cazon";0;107,28;0;14530,1;107,28;"0%";14530,1;"0%"
"Chicharro Blanco";0;1397,9;0;0;1397,9;"0%";0;NA
"Chicharro Negro";348;97852,2;132;106550,4;98200,2;"0%";106682,4;"0%"
"Cigala";0;26,5;0;0;26,5;"0%";0;NA
"Cinta";86;332,5;0;0;418,5;"21%";0;NA
"Cohombro";0;31,5;0;0;31,5;"0%";0;NA
"Congrio";424;25704,546;0;25858,6;26128,546;"2%";25858,6;"0%"
"Cuco - Peona";0;0;0;0;0;NA;0;NA
"Denton";0;9,2;0;0;9,2;"0%";0;NA
"Estornino del Atlantico";0;1165;0;1140;1165;"0%";1140;"0%"
"Estornino del Pacifico";0;6;0;0;6;"0%";0;NA
"Faneca comun";39828;23680,75;41447,3;167155,5;63508,75;"63%";208602,8;"20%"
"Fanecas spp";0;142846,625;0;0;142846,625;"0%";0;NA
"Fletan negro";0;66;0;0;66;"0%";0;NA
"Gallinetas del Atlantico nep";0;12;0;0;12;"0%";0;NA
"Gallo boscii";0;0;0;27189;0;NA;27189;"0%"
"Gallo whiffiagonis";0;24248,878;0;0;24248,878;"0%";0;NA
"Gallos - ollarra";49565,6;299718,604;54522,35;315154,35;349284,204;"14%";369676,7;"15%"
"Garneos nep";0;0;0;3675;0;NA;3675;"0%"
"Lenguado";0;2799,72;0;7025,7;2799,72;"0%";7025,7;"0%"
"Lirio - Bacaladilla";349449;338111,2;398972;328757,9;687560,2;"51%";727729,9;"55%"
"Lubina";141;8878,4;170,6;13697,2;9019,4;"2%";13867,8;"1%"
"Maruca - Juliana (Molva molva)";0;2672,23;681,7;4613,9;2672,23;"0%";5295,6;"13%"
"Maruca azul - Palo (Molva dypterygia)";0;7160,45;0;11001,2;7160,45;"0%";11001,2;"0%"
"Mendo";0;21398,37;0;20945,5;21398,37;"0%";20945,5;"0%"
"Merlan";0;352,66;0;498,3;352,66;"0%";498,3;"0%"
"Merluza europea";205041,426;1463512,78688;270007,3;1240313,8;1668554,21288;"12%";1510321,1;"18%"
"Mojarras nep (DEA)";0;306,5;0;0;306,5;"0%";0;NA
"Musola";0;16655,816;0;0;16655,816;"0%";0;NA
"Musola dentuda - musola estrellada";0;25,8664;0;0;25,8664;"0%";0;NA
"Palometa roja (Beryx decadactylus)";0;4,4;0;0;4,4;"0%";0;NA
"Pardete";0;0;0;22;0;NA;22;"0%"
"Pejerrey - Abichon - Chirrete";0;0;1220,7;38010,6;0;NA;39231,3;"3%"
"Peon - pez plata";53;37222;0;80,1;37275;"0%";80,1;"0%"
"Perlon";0;1607,4;20016,2;37476,5;1607,4;"0%";57492,7;"35%"
"Pez cinto (Lepidopus caudatus)";0;0;320;170,5;0;NA;490,5;"65%"
"Pez de San Pedro";59;13736;1442,2;17419,3;13795;"0%";18861,5;"8%"
"Pintarroja";12668;100800,8;9504;109375;113468,8;"11%";118879;"8%"
"Pota costera";0;51;0;0;51;"0%";0;NA
"Pota voladora";0;1577,5;0;0;1577,5;"0%";0;NA
"Potas Ommastrephidae nep";4300;9785,3;4559,5;65778,3;14085,3;"31%";70337,8;"6%"
"Potas voladoras nep (N1V)";0;36515,4;0;0;36515,4;"0%";0;NA
"Pulpo blanco";59164;32736;0;0;91900;"64%";0;NA
"Pulpo comun";0;1355,3;57708;33716,1;1355,3;"0%";91424,1;"63%"
"Pulpos Octopodidae";0;1132;0;0;1132;"0%";0;NA
"Rape blanco";26461,2;127055,436;29004,09;119844;153516,636;"17%";148848,09;"19%"
"Rape negro";0;208357,44;6720,5;200186,3;208357,44;"0%";206906,8;"3%"
"Rapes Lophiidae";0;869,4;0;0;869,4;"0%";0;NA
"Rapes Lophius";0;9678,744;0;4122,2;9678,744;"0%";4122,2;"0%"
"Raya de Murray (DEA)";0;65;0;0;65;"0%";0;NA
"Raya de clavos";0;13592,298;167;14613,9;13592,298;"0%";14780,9;"1%"
"Raya santiaguesa";2328;44912,86;1772,3;41490,1;47240,86;"5%";43262,4;"4%"
"Rayas (Rajidae)";0;2225,7;0;0;2225,7;"0%";0;NA
"Rayas spp";0;6180,6;0;0;6180,6;"0%";0;NA
"Remol - Corujo";0;20,16;0;36;20,16;"0%";36;"0%"
"Rodaballo";0;490,665;0;1704,6;490,665;"0%";1704,6;"0%"
"Salmonete de roca";233,7;26389,6;0;0;26623,3;"1%";0;NA
"Salmonetes (Mullus spp)";0;240,8;0;36314,4;240,8;"0%";36314,4;"0%"
"Salvario - Escorpion - Escarapote - Araña";0;15057,7;911;18535,6;15057,7;"0%";19446,6;"5%"
"Sargo mojarra";0;18;0;298,5;18;"0%";298,5;"0%"
"Sepia comun";0;2776,7;10474,9;36541,3;2776,7;"0%";47016,2;"22%"
"Sepias y chocos";10136;34094,9;0;0;44230,9;"23%";0;NA
"Soldadito";0;9402,4;0;14516,6;9402,4;"0%";14516,6;"0%"
"Soleidos";0;2397,8;0;0;2397,8;"0%";0;NA
"Tollas - Musola spp";0;3755,6344;0;0;3755,6344;"0%";0;NA
"Triglidos";16234,2;34113,7;0;0;50347,9;"32%";0;NA
"Verdel - Caballa";91797;1390310,55;132757,8;1047240,22;1482107,55;"6%";1179998,02;"11%"
"Verrugato de fango";2090;48;0;0;2138;"98%";0;NA
