"CensoPorModalidad","CodigoCFR","Nombre_Buque","Puerto_Base","Ntrip_NV","Peso_NV","Ntrip_DO","Peso_DO"
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000005948","ILLA DA CREVA","MARIN",NA,NA,45,32490.9
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023061","Gaztelugatxe","ONDARROA",147,325348.4,155,326918.36
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023062","Aketxe","ONDARROA",147,310907.9,154,313165.95
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023918","LUSCINDA","AVILES",NA,NA,2,5400
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024087","TRAVESIA","AVILES",NA,NA,2,128.03
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024091","Plaia de Esteiro","MUROS",4,22803,24,78793.27
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024283","Serenin ( ex Minchos Quinto)","CELEIRO",21,150346.1,25,302484.66
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024563","Arretxu Berria","ONDARROA",129,523281.4,135,525612.81
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024580","Andrekala Berria","ONDARROA",129,495434,133,497695.66
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024724","Hermanos San Salvador","SANTANDER",2,6942,27,121925.29
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024732","Vilaboa Uno","SANTANDER",4,16039,26,102102.64
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000026604","AVEDAL","ONDARROA",NA,NA,53,155107
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000027773","Eleuterio Jose Balayo","AVILES",14,113590.5,13,116429.38
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025137","Intxortamendi","ONDARROA",46,546800.3,46,574764.3
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025788","Kalamendi","ONDARROA",93,803373.5,49,845156.34
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025819","Mar Mares","ONDARROA",48,624317.94,44,877020.32
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026011","Eguzki Lore","ONDARROA",56,632148.06,46,668195.1
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026597","Antiuko Ama","ONDARROA",54,965126.53,54,1003588.98
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026833","Kaxu","ONDARROA",84,1057611.5,83,1081081.55
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026886","Kaxarra","ONDARROA",84,999076.1,83,1021480.14
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026887","NUEVO CHAROLAIS","BURELA",NA,NA,2,18081.25
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026895","Gure Kantabriko","ONDARROA",49,550796.4,40,712305.01
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000027189","Gure Gaskuña","ONDARROA",46,531982.2,44,644295.62
"ARRASTRE EN AGUAS DE PORTUGAL","ESP000023312","Mar de Agueda (Golfiño R)","MARIN",8,154092,NA,NA
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000022829","Sukari Primero","SANTANDER",38,359906,37,511137.7
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000023133","Hermanos Busto","ONDARROA",37,316088.93,35,343875.77
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000023383","Mataleñas Segundo","BURELA",2,15247,2,17389.76
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000023422","Jesus de Galiana","BURELA",1,2731.98,1,18041.34
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000024868","Cali Uno","SANTA UXIA DE RIBEIRA",29,354781,28,514059.22
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000024879","Vera","BURELA",7,47031,7,112889.04
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025384","Brieiro","ONDARROA",31,305840.24,30,325340.51
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025710","Breogan Uno","BURELA",1,17700,1,19364.18
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026025","Anxuela","CELEIRO",1,2328.6,1,14180.88
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026138","Nuevo Santillana","SANTA UXIA DE RIBEIRA",33,349552.4,32,464619.67
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026226","Idurre Berria","BURELA",4,33276.07,4,74415.28
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026556","Currana Un","CELEIRO",1,2088,1,10569.67
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026948","Akillamendi Berria","ONDARROA",34,267299.4,36,622969.69
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026956","Breogan Tres","BURELA",2,6923,2,23904.87
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026999","Siempre Revuelta","BURELA",3,42501.23,3,50970
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000027000","Faro de Burela","BURELA",2,30649.63,2,38806.82
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000027069","Anchousa","CELEIRO",30,257664.71,27,357448.52
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000100009","Aveneira","CELEIRO",30,251009.52,28,361973.33
"ARTES MENORES EN CANTABRICO NW","ESP000008715","METEORO TERCERO","SANTA EUGENIA DE RIVEIRA",NA,NA,7,6449.7
"ARTES MENORES EN CANTABRICO NW","ESP000015985","Zeruko Lainoa Segundo","DONOSTIA",38,36979.25,37,36912.1
"ARTES MENORES EN CANTABRICO NW","ESP000021828","Castillo Anaiak (ex Agustina)","GETARIA",98,86265.57,124,86713.57
"ARTES MENORES EN CANTABRICO NW","ESP000021920","Alain Bi","GETARIA",67,11395.14,60,11395.14
"ARTES MENORES EN CANTABRICO NW","ESP000022247","Clementina","PASAIA",69,38592.4,75,38805.71
"ARTES MENORES EN CANTABRICO NW","ESP000022800","Amets","GETARIA",131,86727.04,126,88525.68
"ARTES MENORES EN CANTABRICO NW","ESP000022816","Nuevo Chuchi","PASAIA",115,16826.7,123,16893.33
"ARTES MENORES EN CANTABRICO NW","ESP000022945","Madarieta (ex Rubixua)","LEKEITIO",67,1217,67,1217
"ARTES MENORES EN CANTABRICO NW","ESP000022981","Beti Begoñako Ama (ex Beti Barrenetxea)","BERMEO",38,171070.8,40,175474.18
"ARTES MENORES EN CANTABRICO NW","ESP000023204","Canalechebarria","BERMEO",30,166625.08,27,169200.26
"ARTES MENORES EN CANTABRICO NW","ESP000023265","Abelan Uno","PASAIA",174,47006.8,168,47527.14
"ARTES MENORES EN CANTABRICO NW","ESP000023352","Beti Iskander (ex Herbosa)","SANTURTZI",53,31727,80,34298.1
"ARTES MENORES EN CANTABRICO NW","ESP000023420","Aita Joxe","HONDARRIBIA",5,393.9,3,372.3
"ARTES MENORES EN CANTABRICO NW","ESP000023520","YOLANDA CUARTA","CASTRO URDIALES",NA,NA,29,3360.6
"ARTES MENORES EN CANTABRICO NW","ESP000023573","Ilunber eta Iskander","SANTURTZI",74,33768.9,71,32017.1
"ARTES MENORES EN CANTABRICO NW","ESP000023882","Izurdia Maitea","BERMEO",49,164373.25,46,173690.72
"ARTES MENORES EN CANTABRICO NW","ESP000023911","BETI AURRERA","CASTRO URDIALES",NA,NA,6,313.4
"ARTES MENORES EN CANTABRICO NW","ESP000023970","Antiguotarrak (ex Madre Dolores)","DONOSTIA",35,26342.45,35,26775.8
"ARTES MENORES EN CANTABRICO NW","ESP000024104","Gure Ama Martina","HONDARRIBIA",28,191911,45,192506.4
"ARTES MENORES EN CANTABRICO NW","ESP000024140","El Marinero","BERMEO",73,74817.7,110,82294.12
"ARTES MENORES EN CANTABRICO NW","ESP000024140","El Marinero","SANTANDER",20,9758.6,110,82294.12
"ARTES MENORES EN CANTABRICO NW","ESP000024146","Pepin Calvita","PASAIA",7,419,12,3216.95
"ARTES MENORES EN CANTABRICO NW","ESP000024150","Farolin","ZIERBENA",11,21067.6,83,22837
"ARTES MENORES EN CANTABRICO NW","ESP000024158","Itxasoko Lorea Dos","ARMINTZA",63,82603.2,76,82848.5
"ARTES MENORES EN CANTABRICO NW","ESP000024222","Padilla Anaiak","HONDARRIBIA",46,85221.75,61,85221.75
"ARTES MENORES EN CANTABRICO NW","ESP000024300","Mar de Llanes","PASAIA",141,42016.7,131,42346.01
"ARTES MENORES EN CANTABRICO NW","ESP000024354","Nuevo Pastor","CELEIRO",18,5743.7,19,6134.76
"ARTES MENORES EN CANTABRICO NW","ESP000024401","CASTRO VERDE","SANTOÑA",NA,NA,1,892.75
"ARTES MENORES EN CANTABRICO NW","ESP000024416","Handik","PASAIA",162,44713.4,160,40241.6
"ARTES MENORES EN CANTABRICO NW","ESP000024501","Garrintxo eta Zomorro (ex Nuevo Venus)","PASAIA",80,37449.1,88,37813.88
"ARTES MENORES EN CANTABRICO NW","ESP000024541","Mari Errota","LEKEITIO",90,12218,90,12218
"ARTES MENORES EN CANTABRICO NW","ESP000024623","Azkena","PASAIA",114,31513.3,80,31662.92
"ARTES MENORES EN CANTABRICO NW","ESP000024654","Bihotz Alai","ARMINTZA",59,56900.1,64,53747.16
"ARTES MENORES EN CANTABRICO NW","ESP000024737","Nuevo Tono","MUNDAKA",35,7108.1,35,7108.1
"ARTES MENORES EN CANTABRICO NW","ESP000024802","Amua","PLENTZIA",18,31777.3,31,31983.85
"ARTES MENORES EN CANTABRICO NW","ESP000024877","Ixurde","ARMINTZA",48,35747.4,66,36299.22
"ARTES MENORES EN CANTABRICO NW","ESP000024915","Beti Salada Segundo","PASAIA",177,41632.8,171,39253.93
"ARTES MENORES EN CANTABRICO NW","ESP000024946","Beti Zeruko Izarra (ex Laura y Cristina)","BERMEO",70,93081.05,119,93981.21
"ARTES MENORES EN CANTABRICO NW","ESP000024988","Estela del Carmen","MUNDAKA",58,52793.2,84,52836.89
"ARTES MENORES EN CANTABRICO NW","ESP000025003","VELAMAR","RIBADESELLA",NA,NA,1,279
"ARTES MENORES EN CANTABRICO NW","ESP000025104","Rokillo (ex Sara del Mar)","SANTURTZI",33,22006.9,33,21896.5
"ARTES MENORES EN CANTABRICO NW","ESP000025308","Untxi","BERMEO",70,23746.6,68,24053.5
"ARTES MENORES EN CANTABRICO NW","ESP000025480","Nuevo Moni","BERMEO",47,49398.55,36,52555.01
"ARTES MENORES EN CANTABRICO NW","ESP000025496","Hiru Anaiak","SANTURTZI",50,44249.75,153,56866.15
"ARTES MENORES EN CANTABRICO NW","ESP000025521","Gure Naiara (ex Ana Karina)","BERMEO",96,91056.6,165,89855.69
"ARTES MENORES EN CANTABRICO NW","ESP000025522","Bide Ona Bi","LEKEITIO",57,40226.75,56,40345.74
"ARTES MENORES EN CANTABRICO NW","ESP000025539","Atxurra Anaiak","LEKEITIO",120,39613.4,123,39393.52
"ARTES MENORES EN CANTABRICO NW","ESP000025649","Jon Kurtzio (ex Artxanda Eder)","BERMEO",88,52736.45,69,51537.7
