NombreBuque;NombreZona;FechaVenta;NombrePuerto;FechaAnalisis;Especie Oficial;Especie Científico;Especie Inglés;Especie ALFA3;NumMuestra;NombreEstado;Codigo;Observaciones;NumPez;TallaTotal;PesoTotal;PesoEvisc;NombreSexo;NombreEstMadSexual;NombreRpl;PesoGonadas;PesoHigado;TieneOtolito;Edad1;Lector1;Edad2;Lector2;EdadFinal;Observaciones1
Kaxu;27.8.b;04/02/2019;Ondarroa;04/02/2019;Merluza europea;Merluccius merluccius;Hake;HKE;HKE-040219-1;Fresco;;Kall. Crecida Cd;1;362;344;323;Macho;2;Vacio;3,8;;VERDADERO;;;;;;
Kaxu;27.8.b;04/02/2019;Ondarroa;04/02/2019;Merluza europea;Merluccius merluccius;Hake;HKE;HKE-040219-1;Fresco;;Kall. Crecida Cd;2;374;359;343;Hembra;1;Vacio;2,5;;VERDADERO;;;;;;
Kaxu;27.8.b;04/02/2019;Ondarroa;04/02/2019;Merluza europea;Merluccius merluccius;Hake;HKE;HKE-040219-1;Fresco;;Kall. Crecida Cd;3;376;363;324;Macho;2;Lleno;6,4;;VERDADERO;;;;;;
Kaxu;27.8.b;04/02/2019;Ondarroa;04/02/2019;Merluza europea;Merluccius merluccius;Hake;HKE;HKE-040219-1;Fresco;;Kall. Crecida Cd;4;385;397;372;Macho;2;Vacio;7,1;;VERDADERO;;;;;;
Kaxu;27.8.b;04/02/2019;Ondarroa;04/02/2019;Merluza europea;Merluccius merluccius;Hake;HKE;HKE-040219-1;Fresco;;Kall. Crecida Cd;5;384;389;366;Macho;2;Vacio;6,2;;VERDADERO;;;;;;
Kaxu;27.8.b;04/02/2019;Ondarroa;04/02/2019;Merluza europea;Merluccius merluccius;Hake;HKE;HKE-040219-1;Fresco;;Kall. Crecida Cd;6;383;419;394;Macho;2;Vacio;5,8;;VERDADERO;;;;;;
Kaxu;27.8.b;04/02/2019;Ondarroa;04/02/2019;Merluza europea;Merluccius merluccius;Hake;HKE;HKE-040219-1;Fresco;;Kall. Crecida Cd;7;385;400;370;Macho;2;Vacio;6;;VERDADERO;;;;;;
Kaxu;27.8.b;04/02/2019;Ondarroa;04/02/2019;Merluza europea;Merluccius merluccius;Hake;HKE;HKE-040219-1;Fresco;;Kall. Crecida Cd;8;380;365;341;Macho;2;Vacio;6,4;;VERDADERO;;;;;;
Kaxu;27.8.b;04/02/2019;Ondarroa;04/02/2019;Merluza europea;Merluccius merluccius;Hake;HKE;HKE-040219-1;Fresco;;Kall. Crecida Cd;9;393;378;377;Macho;2;Vacio;5,7;;VERDADERO;;;;;;
Kaxu;27.8.b;04/02/2019;Ondarroa;04/02/2019;Merluza europea;Merluccius merluccius;Hake;HKE;HKE-040219-1;Fresco;;Kall. Crecida Cd;10;389;395;374;Macho;2;Vacio;5,7;;VERDADERO;;;;;;
Kaxu;27.8.b;04/02/2019;Ondarroa;04/02/2019;Merluza europea;Merluccius merluccius;Hake;HKE;HKE-040219-1;Fresco;;Kall. Crecida Cd;11;399;420;393;Macho;1;Lleno;4,3;;VERDADERO;;;;;;
Kaxu;27.8.b;04/02/2019;Ondarroa;04/02/2019;Merluza europea;Merluccius merluccius;Hake;HKE;HKE-040219-1;Fresco;;Kall. Crecida Cd;12;396;374;349;Macho;2;Lleno;7,1;;VERDADERO;;;;;;
Kaxu;27.8.b;04/02/2019;Ondarroa;04/02/2019;Merluza europea;Merluccius merluccius;Hake;HKE;HKE-040219-1;Fresco;;Kall. Crecida Cd;13;408;526;469;Macho;1;Lleno;4,1;;VERDADERO;;;;;;
