"NombreBuque";"NombreZona";"FechaVenta";"NombrePuerto";"FechaAnalisis";"Especie.Oficial";"Especie.Científico";"Especie.Inglés";"Especie.ALFA3";"NumMuestra";"NombreEstado";"Codigo";"Criterio.edad";"Escala.madurez";"Observaciones";"NumPez";"TallaTotal";"PesoTotal";"PesoEvisc";"NombreSexo";"NombreEstMadSexual";"NombreRpl";"PesoGonadas";"PesoHigado";"TieneOtolito";"Edad1";"Lector1";"Edad2";"Lector2";"EdadFinal";"Observaciones1";"fecha";"M";"Q";"S";"Y";"label"
"Itsas Lagunak";"27.8.b";"04/11/2020";"Hondarribia";"05/11/2020";"Anchoa - Boqueron";"Engraulis encrasicolus";"Anchovy";"ANE";"ANE-041120-1";"Fresco";NA;"WKARA2, 2016";"WKSPMAT, 2008";"MARIVI-MAITE";18;162;15,79;NA;"Macho";"1";"";NA;NA;"VERDADERO";1;"Iñaki";NA;"";1;"Duda entre madurez 1 y 6";2020-11-04;"11";"4";"2";"2020";"T 162 - P 15.79"
"Kantauri";"27.8.c.e";"15/07/2020";"Pasaia";"16/07/2020";"Anchoa - Boqueron";"Engraulis encrasicolus";"Anchovy";"ANE";"ANE-150720-1";"Fresco";NA;"WKARA2, 2016";"WKSPMAT, 2008";"AINHOA-GORETTI";24;145;14,2;NA;"Macho";"5";"";NA;NA;"VERDADERO";1;"Iñaki Rico";NA;"";1;"";2020-07-15;"7";"3";"2";"2020";"T 145 - P 14.2"
"Tuku Tuku";"27.8.b";"05/11/2020";"Hondarribia";"05/11/2020";"Anchoa - Boqueron";"Engraulis encrasicolus";"Anchovy";"ANE";"ANE-051120-1";"Fresco";NA;"WKARA2, 2016";"WKSPMAT, 2008";"MARIVI-GORETTI";1;134;19,22;NA;"Macho";"1";"";NA;NA;"VERDADERO";1;"Iñaki";NA;"";1;"";2020-11-05;"11";"4";"2";"2020";"T 134 - P 19.22"
"Tuku Tuku";"27.8.b";"23/04/2020";"Hondarribia";"28/04/2020";"Anchoa - Boqueron";"Engraulis encrasicolus";"Anchovy";"ANE";"ANE-230420-1";"Congelado";NA;"WKARA2, 2016";"WKSPMAT, 2008";"8B";48;151;27,71;NA;"Hembra";"3";"";NA;NA;"VERDADERO";3;"Iñaki";NA;"";3;"Cb";2020-04-23;"4";"2";"1";"2020";"T 151 - P 27.71"
"Kantauri";"27.8.b";"29/01/2020";"Ondarroa";"10/06/2020";"Sardina";"Sardina pilchardus";"Pilchard";"PIL";"PIL-290120-1";"Congelado";NA;"WKARAS2, 2019";"WKSPMAT, 2008";"";2;144;45;40;"Hembra";"3";"";1,2;NA;"VERDADERO";4;"IÑAKI";4;"Deniz Kukul";4;"";2020-01-29;"1";"1";"1";"2020";"T 144 - P 45"
"Nuevo Maria Javier (ex J Teresa)";"27.8.c.e";"14/02/2020";"Ondarroa";"03/06/2020";"Sardina";"Sardina pilchardus";"Pilchard";"PIL";"PIL-140220-1";"Congelado";NA;"WKARAS2, 2019";"WKSPMAT, 2008";"";17;131;32;29;"Hembra";"3";"";1,6;NA;"VERDADERO";2;"IÑAKI";2;"Deniz Kukul";2;"";2020-02-14;"2";"1";"1";"2020";"T 131 - P 32"
"Ansia";"27.8.c.e";"14/02/2020";"Ondarroa";"09/06/2020";"Sardina";"Sardina pilchardus";"Pilchard";"PIL";"PIL-140220-2";"Congelado";NA;"WKARAS2, 2019";"WKSPMAT, 2008";"";1;118;31;27;"Macho";"3";"";NA;NA;"VERDADERO";2;"IÑAKI";2;"Deniz Kukul";2;"";2020-02-14;"2";"1";"1";"2020";"T 118 - P 31"
"Gorostiaga Hermanos (ex Algarife)";"27.8.c.e";"03/06/2020";"Ondarroa";"10/06/2020";"Sardina";"Sardina pilchardus";"Pilchard";"PIL";"PIL-030620-1";"Congelado";NA;"WKARAS2, 2019";"WKSPMAT, 2008";"";11;135;38;34;"Macho";"2";"";NA;NA;"VERDADERO";1;"IÑAKI";1;"Deniz Kukul";1;"";2020-06-03;"6";"2";"1";"2020";"T 135 - P 38"
"O Poche";"27.8.c.e";"17/11/2020";"Ondarroa";"12/01/2021";"Sardina";"Sardina pilchardus";"Pilchard";"PIL";"PIL-171120-1";"Congelado";NA;"WKARAS2, 2019";"WKSPMAT, 2008";"";12;134;48;43;"Macho";"3";"";NA;NA;"VERDADERO";NA;"";NA;"";NA;"";2020-11-17;"11";"4";"2";"2020";"T 134 - P 48"
"Itsasoan (ex Luis Barranco)";"27.8.b";"20/10/2020";"Hondarribia";"04/11/2020";"Sardina";"Sardina pilchardus";"Pilchard";"PIL";"PIL-201020-2";"Fresco";NA;"WKARAS2, 2019";"WKSPMAT, 2008";"GORETTI-MAITE";42;181;86,8;NA;"Hembra";"5";"";2,14;NA;"VERDADERO";1;"IÑAKI";1;"Deniz Kukul";1;"";2020-10-20;"10";"4";"2";"2020";"T 181 - P 86.8"
