"Nombre_Buque","Puerto_Base","Censo","Trip","Fecha_Desembarco","Dia","Mes","Ano","Zona2","Metier","Demersales","Mixto","Otras","Pelagico","Total","P_dem","P_pel","P_mix","P_otr","Metier_Rev","check"
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",530297,2020-01-06,7,1,2020,"27.8.abde","OTB_DEF_>=70_0_0",8599.7,1262.8,3852.66,253,13968.17,0.62,0.02,0.09,0.28,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",530453,2020-01-12,13,1,2020,"27.8.abde","OTB_DEF_>=70_0_0",11767.27,985.6,4663.89,119,17535.76,0.67,0.01,0.06,0.27,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",530584,2020-01-19,20,1,2020,"27.8.abde","OTB_DEF_>=70_0_0",12518.92,587,4744.68,548,18398.6,0.68,0.03,0.03,0.26,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",530670,2020-01-26,27,1,2020,"27.8.abde","OTB_DEF_>=70_0_0",10143.77,490,2579.1,724,13936.87,0.73,0.05,0.04,0.19,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",530770,2020-02-02,3,2,2020,"27.8.abde","OTB_DEF_>=70_0_0",9256.07,1186.5,2429.44,946.5,13818.5,0.67,0.07,0.09,0.18,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",530881,2020-02-09,10,2,2020,"27.8.abde","OTB_DEF_>=70_0_0",12401.52,1309,4721.35,1514,19945.87,0.62,0.08,0.07,0.24,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",530995,2020-02-16,17,2,2020,"27.8.abde","OTB_DEF_>=70_0_0",12313.01,837.5,4608.98,1916.5,19675.98,0.63,0.1,0.04,0.23,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",531149,2020-02-23,24,2,2020,"27.8.abde","OTB_DEF_>=70_0_0",12825.19,592.5,4650.34,490.5,18558.53,0.69,0.03,0.03,0.25,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",531330,2020-03-01,2,3,2020,"27.8.abde","OTB_DEF_>=70_0_0",7441.82,291.3,1782.41,1647.5,11163.03,0.67,0.15,0.03,0.16,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",531378,2020-03-04,4,3,2020,"27.8.abde","OTB_DEF_>=70_0_0",1287.32,44,335.87,15372,17039.19,0.08,0.9,0,0.02,"OTB_SPF_>=70_0_0",FALSE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",531429,2020-03-04,5,3,2020,"27.8.abde","OTB_DEF_>=70_0_0",39.88,6.5,26.63,43014,43087.01,0,1,0,0,"OTB_SPF_>=70_0_0",FALSE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",531481,2020-03-05,6,3,2020,"27.8.abde","OTB_DEF_>=70_0_0",0,0,0,24409,24409,0,1,0,0,"OTB_SPF_>=70_0_0",FALSE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",531496,2020-03-07,7,3,2020,"27.8.abde","OTB_DEF_>=70_0_0",0,0,0,21000,21000,0,1,0,0,"OTB_SPF_>=70_0_0",FALSE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",531528,2020-03-08,9,3,2020,"27.8.abde","OTB_DEF_>=70_0_0",25.9,10.5,20.5,66809,66865.9,0,1,0,0,"OTB_SPF_>=70_0_0",FALSE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",531579,2020-03-10,10,3,2020,"27.8.abde","OTB_DEF_>=70_0_0",82.4,13,32.2,35891.5,36019.1,0,1,0,0,"OTB_SPF_>=70_0_0",FALSE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",531678,2020-03-11,11,3,2020,"27.8.abde","OTB_DEF_>=70_0_0",44.15,4.5,9.6,32626,32684.25,0,1,0,0,"OTB_SPF_>=70_0_0",FALSE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",531993,2020-03-15,16,3,2020,"27.8.abde","OTB_DEF_>=70_0_0",8581.54,724,2296.98,431.5,12034.02,0.71,0.04,0.06,0.19,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",532460,2020-03-22,23,3,2020,"27.8.abde","OTB_DEF_>=70_0_0",6997.45,2174.5,4139.62,2302.5,15614.07,0.45,0.15,0.14,0.27,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",533271,2020-04-05,6,4,2020,"27.8.abde","OTB_DEF_>=70_0_0",1570.09,18,348.35,0,1936.44,0.81,0,0.01,0.18,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",533413,2020-04-12,13,4,2020,"27.8.abde","OTB_DEF_>=70_0_0",7376.57,341.5,3061.49,2623,13402.56,0.55,0.2,0.03,0.23,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",533604,2020-04-19,20,4,2020,"27.8.abde","OTB_DEF_>=70_0_0",8080.88,103.5,2237.81,1120,11542.2,0.7,0.1,0.01,0.19,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",534013,2020-04-26,27,4,2020,"27.8.abde","OTB_DEF_>=70_0_0",10763.41,465.5,4924.75,2137.5,18291.17,0.59,0.12,0.03,0.27,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",534270,2020-05-03,4,5,2020,"27.8.abde","OTB_DEF_>=70_0_0",10421.23,102,4685.72,4219,19427.94,0.54,0.22,0.01,0.24,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",534520,2020-05-10,11,5,2020,"27.8.abde","OTB_DEF_>=70_0_0",10297.7,188,3541.94,3796.5,17824.14,0.58,0.21,0.01,0.2,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",534688,2020-05-17,18,5,2020,"27.8.abde","OTB_DEF_>=70_0_0",17478.97,189,3567.68,3449.5,24685.15,0.71,0.14,0.01,0.14,"OTB_DEF_>=70_0_0",TRUE
"ANTIUKO AMA","Ondarroa","ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII Y VIIIABDE",534906,2020-05-24,25,5,2020,"27.8.abde","OTB_DEF_>=70_0_0",17118.22,204,4776.87,5471.5,27570.6,0.62,0.2,0.01,0.17,"OTB_DEF_>=70_0_0",TRUE
