"Nombre_Buque","Puerto_Base","Censo","Trip","Fecha_Desembarco","Dia","Mes","Ano","Zona2","Metier","Peso","Metier_Rev","check"
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",525560,2020-01-02,2,1,2020,"27.8.c","PTB_MPD_>=55_0_0",9036.852,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530247,2020-01-03,3,1,2020,"27.8.c","PTB_MPD_>=55_0_0",1960.8264,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530277,2020-01-06,7,1,2020,"27.8.c","PTB_MPD_>=55_0_0",3137.98035,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530278,2020-01-04,7,1,2020,"27.8.c","PTB_MPD_>=55_0_0",3137.98035,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530339,2020-01-07,8,1,2020,"27.8.c","PTB_MPD_>=55_0_0",1520.9243,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530372,2020-01-08,9,1,2020,"27.8.c","PTB_MPD_>=55_0_0",1219.7425,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530440,2020-01-12,13,1,2020,"27.8.c","PTB_MPD_>=55_0_0",1524.3921,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530530,2020-01-15,16,1,2020,"27.8.c","PTB_MPD_>=55_0_0",2615.8092,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530571,2020-01-19,20,1,2020,"27.8.c","PTB_MPD_>=55_0_0",3217.4225,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530625,2020-01-22,23,1,2020,"27.8.c","PTB_MPD_>=55_0_0",2813.959,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530656,2020-01-26,27,1,2020,"27.8.c","PTB_MPD_>=55_0_0",2663.175,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530732,2020-01-29,30,1,2020,"27.8.c","PTB_MPD_>=55_0_0",1830.661,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530760,2020-02-02,3,2,2020,"27.8.c","PTB_MPD_>=55_0_0",3172.9,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530829,2020-02-05,6,2,2020,"27.8.c","PTB_MPD_>=55_0_0",1273.8283,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530869,2020-02-10,10,2,2020,"27.8.c","PTB_MPD_>=55_0_0",1208.4,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530946,2020-02-12,13,2,2020,"27.8.c","PTB_MPD_>=55_0_0",1444.706,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",530982,2020-02-16,17,2,2020,"27.8.c","PTB_MPD_>=55_0_0",601.25,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",531018,2020-02-17,18,2,2020,"27.8.c","PTB_MPD_>=55_0_0",597.45,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",531052,2020-02-19,20,2,2020,"27.8.c","PTB_MPD_>=55_0_0",1248.8528,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",531130,2020-02-23,24,2,2020,"27.8.c","PTB_MPD_>=55_0_0",1202.723,"PTB_MPD_>=55_0_0",TRUE
