Cod ALFA 3;Nombre Cientifico;Nombre Oficial;Grupo
SQC;Loligo;Calamares Loligo spp.;CEP
SQR;Loligo vulgaris;Calamar común;CEP
SQZ;Loliginidae;Calamares Loliginidae;CEP
SQU;Loliginidae Ommastrephidae;Calamares jibias potas DEA;CEP
CRE;Cancer pagurus;Buey;CRU
LIO;Necora puber;Necora;CRU
QPX;Palaemon spp;Camarones ;CRU
PAL;Palaemon spp;Camarones Palaemon;CRU
QPX;Camarones Palaemon nep;Palaemon spp;CRU
CPR;Palaemon serratus;Camaron comun;CRU
CNZ;Crangon spp;Camarones Crangon;CRU
SCR;Maja squinado;Centolla;CRU
LBE;Homarus gammarus;Bogavante;CRU
GUM;Chelidonichthys obscurus;Arete oscuro ;GNS
GUU;Chelidonichthys lucerna;Bejel;GNS
HMM;Trachurus mediterraneus;Chicharro Blanco;GNS
HOM;Trachurus trachurus;Chicharro Negro;GNS
JAX;Trachurus spp;Chicharros;GNS
JAA;Trachurus picturatus;Chicharro Azul;GNS
BIB;Trisopterus luscus;Faneca comun;GNS
GAD;Trisopterus spp;Fanecas spp;GNS
MUR;Mullus surmuletus;Salmonete de roca;GNS
MUX;Mullus spp;Salmonetes (Mullus spp);GNS
MUT;Mullus barbatus;Salmonete de fango;GNS
GUX;Triglidae;Triglidos;GNS
GUG;Eutrigla gurnardus;Perlon;GNS
CTZ;Trigloporus lastoviza;Rubio;GNS
GUN;Trigla lyra;Garneo;GNS
GUR;Chelidonichthys cuculus;Cuco, Peona;GNS
RSE;Scorpaena scrofa;Cabracho;GTR
SOS;Pegusa lascaris;Lenguado de arena;GTR
SOL;Solea solea;Lenguado ;GTR
MON;Lophius piscatorius;Rape blanco;GTR
ANK;Lophius budegassa;Rape negro;GTR
MNZ;Lophius;Rapes Lophius;GTR
BBS;Scorpaena porcus;Rascacio;GTR
SCS;Scorpaena spp;Rascacios , Cabrachos (Scorpaena spp);GTR
SNQ;Scorpaena notata;Escorpora, obispo;GTR
WEG;Trachinus draco;Salvario scorpion Escarapote Arana;GTR
RJC;Raja clavata;Raya de clavos;GTR
RAJ;Rajidae;Rayas (Rajidae);GTR
SKA;Raja spp;Rayas spp;GTR
RJN;Leucoraja naevus;Raya santiaguesa;GTR
SRX;Rajidae;Rayas, pastinacas, mantas nep (DEA);GTR
BLL;Scophthalmus rhombus;Remol, Corujo;GTR
TUR;Scophthalmus maximus;Rodaballo;GTR
CTC;Sepia officinalis;Sepia;GTR
CTL;Sepiidae;Sepias y chocos;GTR
HKE;Merluccius merluccius;Merluza europea;HKE
MAC;Scomber scombrus;Verdel, Caballa;LHM
COE;Conger conger;Congrio;LLS
BSS;Dicentrarchus labrax;Lubina;LLS
WHB;Micromesistius poutassou;Lirio - Bacaladilla;LLS
ALF;Beryx sp.;Alfonsinos - Reyes (Beryx spp.);LLS
SBA;Pagellus acarne;Aligote;LLS
SRG;Diplodus spp;Sargos - raspallones nep;LLS
SWA;Diplodus sargus;Sargo;LLS
RPG;Pagrus pagrus;Pargo;LLS
CTB;Diplodus vulgaris;Sargo mojarra;LLS
SBZ;Diplodus cervinus;Sargo breado;LLS
SHR;Diplodus puntazzo;Sargo picudo;LLS
SBS;Oblada melanura;Oblada - colanegra - Buzten Baltza;LLS
SBG;Sparus aurata;Dorada;LLS
BRB;Spondyliosoma cantharus;Chopa;LLS
SWX;Algae;Algas nep (DEA);MIS
GEL;Gelidium spp;Algas Gelidium;MIS
GEQ;Gelidium corneum;Alga Imperial (Gelidium);MIS
NOW;Anemonia sulcata;Anemona de mar comun;MIS
PCB;Mitella pollicipes;Percebe;MIS
EOI;Eledone cirrhosa;Pulpo blanco;MOL
OCC;Octopus vulgaris;Pulpo comun;MOL
OCT;Octopodidae;Pulpos;MOL
ALB;Thunnus alalunga;Bonito del Norte;TUN
BFT;Thunnus thynnus;Cimarron, Atun rojo;TUN
BET;Thunnus obesus;Patudo;TUN
BSH;Prionace glauca;Tintorera - Azulon;LPF
MSK;Lamnidae;Marrajos - Cailones - Jaquetones;LPF
POR;Lamna nasus;Marrajo sardinero - cailon marrajo;LPF
SMA;Isurus oxyrinchus;Marrajo - Txintxoleta;LPF
FOR;Phycis phycis;Brotola de roca (Phycis phycis);DWS
FOX;Phycis spp;Lochas - Brotolas;DWS
GFB;Phycis blennoides;Brotola de fango (Phycis blennoides);DWS
GAG;Galeorhinus galeus;Cazon;DWS
BLI;Molva dypterygia dypterygia;Maruca azul - Palo (Molva dypterygia);DWS
LIN;Molva molva;Maruca - Juliana (Molva molva);DWS
LNZ;Molva spp;Marucas;DWS
USK;Brosme brosme;Brosmio;DWS
