Cod ALFA 3;Nombre Cientifico;Nombre Oficial;Grupo
ANF;Lophiidae sp.;Rapes Lophiidae;Demersales
ANK;Lophius budegassa;Rape negro;Demersales
BIB;Trisopterus luscus;Faneca comun;Demersales
BSS;Dicentrarchus labrax;Lubina;Mixto
CTC;Sepia officinalis;Sepia;Mixto
CTL;Sepiidae;Sepias y chocos;Mixto
GAD;Trisopterus spp;Fanecas spp;Demersales
HKE;Merluccius merluccius;Merluza europea;Demersales
HOM;Trachurus trachurus;Chicharro Negro;Pelagico
JAX;Trachurus spp;Chicharros;Pelagico
LDB;Lepidorhombus boscii;Gallo boscii;Demersales
LEZ;Lepidorhombus spp;Gallos, ollarra;Demersales
MAC;Scomber scombrus;Verdel, Caballa;Pelagico
MEG;Lepidorhombus whiffiagonis;Gallo whiffiagonis;Demersales
MNZ;Lophius;Rapes Lophius;Demersales
MON;Lophius piscatorius;Rape blanco;Demersales
MUR;Mullus surmuletus;Salmonete de roca;Mixto
MUT;Mullus barbatus;Salmonete de fango;Mixto
MUX;Mullus spp;Salmonetes (Mullus spp);Mixto
OUL;Alloteuthis subulata;Calamarin picudo;Mixto
POD;Trisopterus minutus;Faneca menor, Fodon, Capellan;Demersales
SCL;Scyliorhinus spp;Alitanes, pintarrojas nep;Demersales
SQC;Loligo;Calamares Loligo spp.;Mixto
SQF;Loligo forbesii;Calamar veteado;Mixto
SQR;Loligo vulgaris;Calamar comun;Mixto
SQZ;Loliginidae;Calamares Loliginidae;Mixto
SYC;Scyliorhinus canicula;Pintarroja;Demersales
SYX;Scyliorhinidae;Pintarrojas (Scyliorhinidae);Demersales
