"IdVenta";"Nombre_Buque2";"Mes";"Dia";"Año";"Metier";"Nombre.Check";"Posa";"Peso.Ventas";"Peso.NV";"Peso.LN"
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Cazon";"noPOSA";0;32;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Chicharros";"noPOSA";12,5;23,5;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Congrio";"noPOSA";460,75;297;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Fanecas";"noPOSA";1283,15;1160;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Gallos";"noPOSA";1102,93;1072,5;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Lenguado";"noPOSA";25,725;47;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Lubina";"noPOSA";32,2;53;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Maruca - Juliana (Molva molva)";"noPOSA";0;25;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Merluza europea";"noPOSA";329,9388;623,5;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Merluza europea";"POSA";2065,148;1617;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Musola";"noPOSA";38,144;0;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Peon";"noPOSA";190;190;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Pez de San Pedro";"noPOSA";23;35;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Pintarroja";"noPOSA";1075;1097;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Potas";"noPOSA";13;13;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Pulpos";"noPOSA";649;649;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Rapes";"noPOSA";1252,2;1299;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Rayas";"noPOSA";739,5;764;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Salmonetes";"noPOSA";156;216;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Sepias y chocos";"noPOSA";94;94;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Soleidos";"noPOSA";74;87;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Triglidos";"noPOSA";646;668;0
"530288";"Intxortamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Verdel";"noPOSA";4;4;0
"530292";"Kalamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Calamares";"noPOSA";0;124;0
"530292";"Kalamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Fanecas";"noPOSA";1206,15;1671;0
"530292";"Kalamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Lenguado";"noPOSA";0;98;0
"530292";"Kalamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Lubina";"noPOSA";0;88;0
"530292";"Kalamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Merluza europea";"noPOSA";1288,789;2333;0
"530292";"Kalamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Pintarroja";"noPOSA";1288;1298;0
"530292";"Kalamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Pulpos";"noPOSA";500,5;506;0
"530292";"Kalamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Rapes";"noPOSA";0;411;0
"530292";"Kalamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Rayas";"noPOSA";1357;576;0
"530292";"Kalamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Remol - Corujo";"noPOSA";0;11;0
"530292";"Kalamendi";1;7;2020;"OTB_DEF_>=70_0_0";"Sepias y chocos";"noPOSA";496;493;0
"530295";"Eguzki Lore";1;7;2020;"OTB_DEF_>=70_0_0";"Calamares";"noPOSA";432,8;653;432,8
"530295";"Eguzki Lore";1;7;2020;"OTB_DEF_>=70_0_0";"Cazon";"noPOSA";16,092;36;0
"530295";"Eguzki Lore";1;7;2020;"OTB_DEF_>=70_0_0";"Congrio";"noPOSA";174,9;85;0
"530295";"Eguzki Lore";1;7;2020;"OTB_DEF_>=70_0_0";"Esparidos";"noPOSA";18;12;0
"530295";"Eguzki Lore";1;7;2020;"OTB_DEF_>=70_0_0";"Fanecas";"noPOSA";2824,59;2581;2924,79
"530295";"Eguzki Lore";1;7;2020;"OTB_DEF_>=70_0_0";"Gallos";"noPOSA";419,76;441;421,16226639
"530295";"Eguzki Lore";1;7;2020;"OTB_DEF_>=70_0_0";"Lenguado";"noPOSA";137,13;174;137,13
"530295";"Eguzki Lore";1;7;2020;"OTB_DEF_>=70_0_0";"Lubina";"noPOSA";0;371;0
"530295";"Eguzki Lore";1;7;2020;"OTB_DEF_>=70_0_0";"Maruca - Juliana (Molva molva)";"noPOSA";8,8;0;13,74955095
"530295";"Eguzki Lore";1;7;2020;"OTB_DEF_>=70_0_0";"Merlan";"noPOSA";25,74;63;0
