Cod. ALFA 3	Nombre Científico	Nombre Oficial	Nombre Ingles	Cod. WORMS
999	No identificado	Basura		
AAB	Acanthopagrus bifasciatus	Sargo de dos bandas (DEA)	Twobar seabream	
ABS	Penaeus aztecus	Camaron cafe norteño (DEA)	Northern brown shrimp	
AGC	Amblygaster clupeoides	Sardinela vientre liso (DEA)	Bleeker smoothbelly sardinella	
AHC	Anchovia macrolepidota	Anchoa plateada (DEA)		
AHU	Anchovia clupeoides	Anchoa bocona (DEA)		
AHW	Aristaeomorpha woodmasoni	Gamba roja india (DEA)		
AJW	Agonostomus monticola	Lisa de rio (DEA)		
AKW	Aphrodita aculeata	Raton de mar		129840
ALA	Alectis alexandrinus	Jurel de Alejandria (DEA)		
ALB	Thunnus alalunga	Bonito del Norte	Long-fined tuna, Albacore	127026
ALC	Alepocephalus bairdii	Talisman - Celindra (A. bairdii)	Baird's slickhead	126682
ALF	Beryx sp.	Alfonsinos - Reyes (Beryx spp.)	Alfonsinos	125700
ALS	Carcharhinus albimarginatus	Tiburon de puntas blancas (DEA)		
ALU	Albulidae	Macabies nep (DEA)		
ALV	Alopias vulpinus	Tiburon zorro	Thresher shark	105836
AMB	Seriola dumerili	Pez Limon	Greather amberjack	126816
ANE	Engraulis encrasicolus	Anchoa - Boqueron	Anchovy	126426
ANF	Lophiidae sp.	Rapes Lophiidae		125493
ANK	Lophius budegassa	Rape negro	Black-bellied angler	126554
ANN	Diplodus annularis	Raspallon	Annular seabream	127049
ANS	Pleuragramma antarcticum	Diablillo antartico (DEA)		
ANV	Avocettina infans	Avocettina infans (DEA)		
APH	Aphanopus intermedius	Sable intermedio (DEA)		
APU	Acipenser sturio	Esturion (DEA)		
ARG	Argentina spp	Peces plata		125885
ARU	Argentina silus	Tomasa (Argentina silus)	Greater argentine	126715
ARV	Aristeus varidens	Gamba listada	Striped red shrimp	234116
ARY	Argentina sphyraena	Peon - pez plata		126716
ASD	Alosa alosa	Sabalo		126413
ATB	Atherina boyeri	Pejerrey mediterraneo (DEA)		
ATK	Pleurogrammus azonus	Lorcha de Okhotsk (DEA)		
ATP	Atherina presbyter	Pejerrey - Abichon - Chirrete	Sand-smelt	272030
AVB	Archosargus rhomboidalis	Sargo amarillo (DEA)		
AVX	Atherina spp	Pejerreyes mediterraneos nep (N1V)		
AWB	Gymnothorax bacalladoi	Murion (DEA)		
AWE	Atractoscion aequidens	Corvinata prieta (DEA)		
BAG	Sphyraena afra	Espeton de Guinea (DEA)		
BAM	Bathyraja maccaini	Raya de McCain (DEA)		
BAP	Paralabrax humeralis	Cabrilla loca (DEA)		
BAS	Serranus sp.	Serranos (Serranus spp.)		126070
BBS	Scorpaena porcus	Rascacio	Black scorpionfish	127247
BDG	Boridia grossidens	Boridia grossidens (DEA)		
BDL	Benthodesmus elongatus	Cintilla elongada (DEA)		
BEA	Bathyraja eatonii	Raya de Eaton (DEA)		
BET	Thunnus obesus	Patudo	Bigeye	127028
BFT	Thunnus thynnus	Cimarron - Atun rojo	Bluefin tuna	127029
BGR	Pomadasys incisus	Ronco Mestizo (N1V)	Bastard grunt	
BIB	Trisopterus luscus	Faneca comun	Pout, Bib	126445
BIL		Agujas - marlines - peces vela nep (DEA)		
BIP	Sarda orientalis	Bonito mono (DEA)	Striped bonito	
BIS	Selar crumenophthalmus	Chicharro ojon (DEA)	Bigeye scad	
BIV		Smilium zancleanum (DEA)		
BIX	Balistes spp	Balistes spp (DEA)		
BLI	Molva dypterygia dypterygia	Maruca azul - Palo (Molva dypterygia)	Blue Ling	126459
BLL	Scophthalmus rhombus	Remol - Corujo	Brill	127150
BLT	Auxis rochei	Melva (rochei)	Bullet tuna	127015
BMU		Raya de Murray (DEA)		
BOC	Capros aper	Ochavo	Boarfish	127419
BOG	Boops boops	Boga	Bogue, ox.eye	127047
BOM	Boesemania microlepis	Boesemania microlepis (DEA)		
BON	Sarda sarda	Bonito Atlantico	Atlantic Bonito	127021
BRB	Spondyliosoma cantharus	Chopa	Black Sea Bream, Old Wife	127066
