"fcCambio","IdInfoBase","idcierrexea","IdBuque","Nombre","CodigoCFR","EsloraTotal","EsloraPP","ArqueoGT","FechaCambioDatosTécnicos","FechaCambioDatosMotor","PotenciaPropulsionTotalKW","FcCambioIdentificacion","PuertoBase","AL5_PuertoBase","ProvinciaPuertoBase","CensoPorModalidad","FcCambioCensoxModalidad"
"30/6/2020 0:00:00",43,106,30913,"ILLA DA CREVA","ESP000005948",20.02,16.78,44.63,"10/2/2004 0:00:00","17/7/1990 0:00:00",147.09975,"30/6/2020 0:00:00","Pasajes","ESPAS","GUIPUZCOA","ARRASTRE DE FONDO EN CANTABRICO NW","10/5/1989 0:00:00"
"27/5/2019 0:00:00",43,106,30913,"ILLA DA CREVA","ESP000005948",20.02,16.78,44.63,"10/2/2004 0:00:00","17/7/1990 0:00:00",147.09975,"27/5/2019 0:00:00","Marin","ESMPG","PONTEVEDRA","ARRASTRE DE FONDO EN CANTABRICO NW","10/5/1989 0:00:00"
"9/6/1989 0:00:00",43,106,32544,"ANA JESUS","ESP000007966",10.5,NA,7.3,"10/5/1989 0:00:00","10/5/1989 0:00:00",84.58235,"9/6/1989 0:00:00","Luarca","ESLUA","PRINCIPADO DE ASTURIAS","PALANGRE DE FONDO EN CANTABRICO NW","10/5/1989 0:00:00"
"17/8/2020 0:00:00",43,106,32544,"ANA JESUS","ESP000007966",10.5,NA,7.3,"10/5/1989 0:00:00","10/5/1989 0:00:00",84.58235,"17/8/2020 0:00:00","Puerto de Vega","ESPVG","PRINCIPADO DE ASTURIAS","PALANGRE DE FONDO EN CANTABRICO NW","10/5/1989 0:00:00"
"2/10/2000 0:00:00",43,106,41184,"MUNDAKA","ESP000022047",22.5,18.6,62.55,"31/8/1991 0:00:00","28/8/1998 0:00:00",176.5197,"2/10/2000 0:00:00","Luarca","ESLUA","PRINCIPADO DE ASTURIAS","CERCO EN CANTABRICO NW","26/2/1992 0:00:00"
"3/11/2020 0:00:00",43,106,41184,"MUNDAKA","ESP000022047",22.5,18.6,62.55,"31/8/1991 0:00:00","3/11/2020 0:00:00",176.52,"2/10/2000 0:00:00","Luarca","ESLUA","PRINCIPADO DE ASTURIAS","CERCO EN CANTABRICO NW","26/2/1992 0:00:00"
"5/6/2020 0:00:00",43,106,41660,"BETI MAURIXIO","ESP000022525",22,18.1,109.02,"2/3/2007 0:00:00","27/4/1993 0:00:00",180.93269,"5/6/2020 0:00:00","Cillero","ESCIO","LUGO","PALANGRE DE FONDO EN CANTABRICO NW","19/6/2002 0:00:00"
"2/3/2007 0:00:00",43,106,41660,"BETI MAURIXIO","ESP000022525",22,18.1,109.02,"2/3/2007 0:00:00","27/4/1993 0:00:00",180.93269,"26/9/2003 0:00:00","Cariño","ESCNO","LA CORUÑA","PALANGRE DE FONDO EN CANTABRICO NW","19/6/2002 0:00:00"
"7/12/2020 0:00:00",43,106,42171,"GAMECHO","ESP000023037",31.64,26.73,117.18,"7/12/2020 0:00:00","14/8/2017 0:00:00",232.35,"13/7/1995 0:00:00","Santander","ESSDR","CANTABRIA","CERCO EN CANTABRICO NW","13/7/1995 0:00:00"
"21/5/2019 0:00:00",43,106,42171,"GAMECHO","ESP000023037",30.64,25.8,112,"21/5/2019 0:00:00","14/8/2017 0:00:00",232.35,"13/7/1995 0:00:00","Santander","ESSDR","CANTABRIA","CERCO EN CANTABRICO NW","13/7/1995 0:00:00"
"31/8/2020 0:00:00",43,106,42486,"BETI ISKANDER","ESP000023352",8.8,7.1,4.13,"18/12/1996 0:00:00","18/12/1996 0:00:00",15.44547,"31/8/2020 0:00:00","Bermeo","ESBRM","VIZCAYA","ARTES MENORES EN CANTABRICO NW","18/12/1996 0:00:00"
"22/5/2015 0:00:00",43,106,42486,"BETI ISKANDER","ESP000023352",8.8,7.1,4.13,"18/12/1996 0:00:00","18/12/1996 0:00:00",15.44547,"22/5/2015 0:00:00","Santurce","ESSNR","VIZCAYA","ARTES MENORES EN CANTABRICO NW","18/12/1996 0:00:00"
"2/3/2007 0:00:00",43,106,43008,"ERMITA PILAR","ESP000023876",29.85,24,131,"9/6/1998 0:00:00","2/3/2007 0:00:00",220.64962,"9/6/1998 0:00:00","Santoña","ESSNN","CANTABRIA","CERCO EN CANTABRICO NW","9/6/1998 0:00:00"
"21/9/2020 0:00:00",43,106,43008,"ERMITA PILAR","ESP000023876",33.85,28,145.5,"21/9/2020 0:00:00","2/3/2007 0:00:00",220.64962,"9/6/1998 0:00:00","Santoña","ESSNN","CANTABRIA","CERCO EN CANTABRICO NW","9/6/1998 0:00:00"
