"CensoPorModalidad","CodigoCFR","Nombre","PuertoBase","Eslora","Peso_DO","Peso_NV"
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000005948","Illa da Creva","Marin",20.02,32490.9,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023061","Gaztelugatxe","Ondarroa",26,326918.36,325348.4
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023062","Aketxe","Ondarroa",26,313165.95,310907.9
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023918","Luscinda","Aviles",27.5,5400,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024087","Travesia","Aviles",26.5,128.03,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024091","Plaia de Esteiro","Muros",28,78793.27,22803
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024283","Serenin ( ex Minchos Quinto)","Celeiro",30,302484.66,150346.1
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024563","Arretxu Berria","Ondarroa",29,525612.81,523281.4
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024580","Andrekala Berria","Ondarroa",29,497695.66,495434
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024724","Hermanos San Salvador","Santander",27.5,121925.29,6942
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024732","Vilaboa Uno","Santander",28.5,102102.64,16039
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000026604","Avedal","Santa Uxia de Ribeira",35,155107,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000027773","Eleuterio Jose Balayo","Aviles",32.2,116429.38,113590.5
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025137","Intxortamendi","Ondarroa",40,574764.3,546800.3
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025788","Kalamendi","Ondarroa",42.5,845156.34,803373.5
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025819","Mar Mares","Ondarroa",38.5,877020.32,624317.94
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026011","Eguzki Lore","Ondarroa",37,668195.1,632148.06
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026597","Antiuko Ama","Ondarroa",38.5,1003588.98,965126.53
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026833","Kaxu","Ondarroa",37,1081081.55,1057611.5
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026886","Kaxarra","Ondarroa",37,1021480.14,999076.1
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026887","Nuevo Charolais","Santander",26.43,18081.25,NA
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026895","Gure Kantabriko","Ondarroa",39,712305.01,550796.4
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000027189","Gure Gaskuña","Ondarroa",39,644295.62,531982.2
"ARRASTRE EN AGUAS DE PORTUGAL","ESP000023312","Mar de Agueda (Golfiño R)","Marin",28,NA,154092
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000022829","Sukari Primero","Santander",31,511137.7,359906
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000023133","Hermanos Busto","Ondarroa",29.35,343875.77,316088.93
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000023383","Mataleñas Segundo","Burela",29,17389.76,15247
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000023422","Jesus de Galiana","Burela",29,18041.34,2731.98
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000024868","Cali Uno","Santa Uxia de Ribeira",31,514059.22,354781
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000024879","Vera","Burela",32.5,112889.04,47031
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025384","Brieiro","Ondarroa",33,325340.51,305840.24
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025710","Breogan Uno","Burela",32,19364.18,17700
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026025","Anxuela","Celeiro",30,14180.88,2328.6
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026138","Nuevo Santillana","Santa Uxia de Ribeira",32,464619.67,349552.4
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026226","Idurre Berria","Burela",33,74415.28,33276.07
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026556","Currana Un","Celeiro",33.5,10569.67,2088
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026948","Akillamendi Berria","Ondarroa",35.4,622969.69,267299.4
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026956","Breogan Tres","Burela",32,23904.87,6923
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000026999","Siempre Revuelta","Burela",33.5,50970,42501.23
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000027000","Faro de Burela","Burela",33.5,38806.82,30649.63
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000027069","Anchousa","Celeiro",30.5,357448.52,257664.71
"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000100009","Aveneira","Celeiro",32,361973.33,251009.52
"ARTES MENORES EN CANTABRICO NW","ESP000008715","Meteoro Tercero","Santa Uxia de Ribeira",13.9,6449.7,NA
"ARTES MENORES EN CANTABRICO NW","ESP000015985","Zeruko Lainoa Segundo","Donostia",10,36912.1,36979.25
"ARTES MENORES EN CANTABRICO NW","ESP000021828","Castillo Anaiak (ex Agustina)","Getaria",15.5,86713.57,86265.57
"ARTES MENORES EN CANTABRICO NW","ESP000021920","Alain Bi","Getaria",8.2,11395.14,11395.14
"ARTES MENORES EN CANTABRICO NW","ESP000022247","Clementina","Pasaia",11.68,38805.71,38592.4
"ARTES MENORES EN CANTABRICO NW","ESP000022800","Amets","Getaria",15.65,88525.68,86727.04
"ARTES MENORES EN CANTABRICO NW","ESP000022816","Nuevo Chuchi","Pasaia",9.2,16893.33,16826.7
"ARTES MENORES EN CANTABRICO NW","ESP000022945","Madarieta (ex Rubixua)","Lekeitio",7,1217,1217
"ARTES MENORES EN CANTABRICO NW","ESP000022981","Beti Begoñako Ama (ex Beti Barrenetxea)","Bermeo",23.35,175474.18,171070.8
"ARTES MENORES EN CANTABRICO NW","ESP000023204","Canalechebarria","Bermeo",26,169200.26,166625.08
"ARTES MENORES EN CANTABRICO NW","ESP000023265","Abelan Uno","Pasaia",9.25,47527.14,47006.8
"ARTES MENORES EN CANTABRICO NW","ESP000023352","Beti Iskander (ex Herbosa)","Santurtzi",8.8,34298.1,31727
"ARTES MENORES EN CANTABRICO NW","ESP000023420","Aita Joxe","Hondarribia",10.05,372.3,393.9
"ARTES MENORES EN CANTABRICO NW","ESP000023520","Yolanda Cuarta","Castro Urdiales",12.31,3360.6,NA
"ARTES MENORES EN CANTABRICO NW","ESP000023573","Ilunber eta Iskander","Santurtzi",10.35,32017.1,33768.9
"ARTES MENORES EN CANTABRICO NW","ESP000023882","Izurdia Maitea","Bermeo",26,173690.72,164373.25
"ARTES MENORES EN CANTABRICO NW","ESP000023911","Beti Aurrera","Castro Urdiales",13.25,313.4,NA
"ARTES MENORES EN CANTABRICO NW","ESP000023970","Antiguotarrak (ex Madre Dolores)","Donostia",10.5,26775.8,26342.45
"ARTES MENORES EN CANTABRICO NW","ESP000024104","Gure Ama Martina","Hondarribia",21,192506.4,191911
"ARTES MENORES EN CANTABRICO NW","ESP000024140","El Marinero","Santander",14,82294.12,84576.3
"ARTES MENORES EN CANTABRICO NW","ESP000024146","Pepin Calvita","Pasaia",14.98,3216.95,419
"ARTES MENORES EN CANTABRICO NW","ESP000024150","Farolin","Zierbena",13.32,22837,21067.6
"ARTES MENORES EN CANTABRICO NW","ESP000024158","Itxasoko Lorea Dos","Armintza",13.3,82848.5,82603.2
"ARTES MENORES EN CANTABRICO NW","ESP000024222","Padilla Anaiak","Hondarribia",11.3,85221.75,85221.75
"ARTES MENORES EN CANTABRICO NW","ESP000024300","Mar de Llanes","Pasaia",8.95,42346.01,42016.7
"ARTES MENORES EN CANTABRICO NW","ESP000024354","Nuevo Pastor","Celeiro",11.3,6134.76,5743.7
"ARTES MENORES EN CANTABRICO NW","ESP000024401","Castro Verde","Santoña",14.3,892.75,NA
"ARTES MENORES EN CANTABRICO NW","ESP000024416","Handik","Pasaia",14.5,40241.6,44713.4
"ARTES MENORES EN CANTABRICO NW","ESP000024501","Garrintxo eta Zomorro (ex Nuevo Venus)","Pasaia",14.8,37813.88,37449.1
"ARTES MENORES EN CANTABRICO NW","ESP000024541","Mari Errota","Lekeitio",7.92,12218,12218
"ARTES MENORES EN CANTABRICO NW","ESP000024623","Azkena","Pasaia",10.34,31662.92,31513.3
"ARTES MENORES EN CANTABRICO NW","ESP000024654","Bihotz Alai","Armintza",11.6,53747.16,56900.1
"ARTES MENORES EN CANTABRICO NW","ESP000024737","Nuevo Tono","Mundaka",7.1,7108.1,7108.1
"ARTES MENORES EN CANTABRICO NW","ESP000024802","Amua","Plentzia",10.05,31983.85,31777.3
