"CensoPorModalidad","CodigoCFR","Nombre","LABORATORIO","PuertoBase","Eslora","Peso_DO","Peso_NV"
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000005948","Illa da Creva","AZTI","Marin",20.02,27485.6,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000005948","Illa da Creva","IEO","Marin",20.02,5005.3,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023061","Gaztelugatxe","AZTI","Ondarroa",26,326918.36,325348.4
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023062","Aketxe","AZTI","Ondarroa",26,313165.95,310907.9
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023918","Luscinda","AZTI","Aviles",27.5,1050,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000023918","Luscinda","IEO","Aviles",27.5,4350,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024087","Travesia","AZTI","Aviles",26.5,128.03,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024091","Plaia de Esteiro","AZTI","Muros",28,72705.27,22803
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024091","Plaia de Esteiro","IEO","Muros",28,6088,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024283","Serenin ( ex Minchos Quinto)","AZTI","Celeiro",30,275272.56,150346.1
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024283","Serenin ( ex Minchos Quinto)","IEO","Celeiro",30,27212.1,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024563","Arretxu Berria","AZTI","Ondarroa",29,525612.81,523281.4
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024580","Andrekala Berria","AZTI","Ondarroa",29,497695.66,495434
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024724","Hermanos San Salvador","AZTI","Santander",27.5,66477,6942
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024724","Hermanos San Salvador","IEO","Santander",27.5,55448.29,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024732","Vilaboa Uno","AZTI","Santander",28.5,56608.02,16039
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000024732","Vilaboa Uno","IEO","Santander",28.5,45494.62,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000026604","Avedal","AZTI","Santa Uxia de Ribeira",35,155107,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000027773","Eleuterio Jose Balayo","AZTI","Aviles",32.2,113980.46,113590.5
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP000027773","Eleuterio Jose Balayo","IEO","Aviles",32.2,2448.92,NA
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025137","Intxortamendi","AZTI","Ondarroa",40,574764.3,546800.3
"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.","ESP000025788","Kalamendi","AZTI","Ondarroa",42.5,845156.34,803373.5
