"CensoPorModalidad","IdMarea","CodigoCFR","Nombre","PuertoBase","Eslora","Peso_DO","Peso_NV"
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190519224932","ESP000005948","Illa da Creva","Marin",20.02,934.1,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190522140803","ESP000005948","Illa da Creva","Marin",20.02,662.4,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190527044836","ESP000005948","Illa da Creva","Marin",20.02,978.7,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190529005226","ESP000005948","Illa da Creva","Marin",20.02,1869.5,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190603052426","ESP000005948","Illa da Creva","Marin",20.02,1516.2,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190610040016","ESP000005948","Illa da Creva","Marin",20.02,645.5,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190612113122","ESP000005948","Illa da Creva","Marin",20.02,529,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190614094213","ESP000005948","Illa da Creva","Marin",20.02,70,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190616213422","ESP000005948","Illa da Creva","Marin",20.02,814.6,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190618194307","ESP000005948","Illa da Creva","Marin",20.02,1276.3,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190722025042","ESP000005948","Illa da Creva","Marin",20.02,581,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190724231422","ESP000005948","Illa da Creva","Marin",20.02,257,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190731011454","ESP000005948","Illa da Creva","Marin",20.02,38.5,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190801232015","ESP000005948","Illa da Creva","Marin",20.02,648,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190805012954","ESP000005948","Illa da Creva","Marin",20.02,1149.5,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190807200337","ESP000005948","Illa da Creva","Marin",20.02,639,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190814004544","ESP000005948","Illa da Creva","Marin",20.02,927,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190816174638","ESP000005948","Illa da Creva","Marin",20.02,1078,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190819000135","ESP000005948","Illa da Creva","Marin",20.02,1489,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190821025816","ESP000005948","Illa da Creva","Marin",20.02,922,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190826014816","ESP000005948","Illa da Creva","Marin",20.02,435,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190827221007","ESP000005948","Illa da Creva","Marin",20.02,366,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190831010715","ESP000005948","Illa da Creva","Marin",20.02,2397.6,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190902060047","ESP000005948","Illa da Creva","Marin",20.02,771,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190904010612","ESP000005948","Illa da Creva","Marin",20.02,860,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190911010228","ESP000005948","Illa da Creva","Marin",20.02,618,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190913040754","ESP000005948","Illa da Creva","Marin",20.02,1393,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190916043446","ESP000005948","Illa da Creva","Marin",20.02,612,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190917230940","ESP000005948","Illa da Creva","Marin",20.02,51,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190919075130","ESP000005948","Illa da Creva","Marin",20.02,344,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190925021722","ESP000005948","Illa da Creva","Marin",20.02,380,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820190926085120","ESP000005948","Illa da Creva","Marin",20.02,341,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820191205042349","ESP000005948","Illa da Creva","Marin",20.02,727,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820191207011030","ESP000005948","Illa da Creva","Marin",20.02,858,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820191210030155","ESP000005948","Illa da Creva","Marin",20.02,266,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820191211001315","ESP000005948","Illa da Creva","Marin",20.02,315,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820191216070014","ESP000005948","Illa da Creva","Marin",20.02,447,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820191217050903","ESP000005948","Illa da Creva","Marin",20.02,479,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820191217231552","ESP000005948","Illa da Creva","Marin",20.02,746,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820191219012808","ESP000005948","Illa da Creva","Marin",20.02,565,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820191220043440","ESP000005948","Illa da Creva","Marin",20.02,553,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820191220202352","ESP000005948","Illa da Creva","Marin",20.02,186,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820191226055725","ESP000005948","Illa da Creva","Marin",20.02,508,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820191227190630","ESP000005948","Illa da Creva","Marin",20.02,923,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-00594820191230081906","ESP000005948","Illa da Creva","Marin",20.02,324,NA
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-02306120181227010108","ESP000023061","Gaztelugatxe","Ondarroa",26,NA,5815.1
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-02306120190101230733","ESP000023061","Gaztelugatxe","Ondarroa",26,2374,2374
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-02306120190103000645","ESP000023061","Gaztelugatxe","Ondarroa",26,544,544.4
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-02306120190103215150","ESP000023061","Gaztelugatxe","Ondarroa",26,8337,8337
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-02306120190106230454","ESP000023061","Gaztelugatxe","Ondarroa",26,2145,2145
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-02306120190108222717","ESP000023061","Gaztelugatxe","Ondarroa",26,1278,1278
"ARRASTRE DE FONDO EN CANTABRICO NW","ESP-TRP-02306120190111230601","ESP000023061","Gaztelugatxe","Ondarroa",26,3890,3860
