NombreBuque;NombreZona;FechaVenta;NombrePuerto;FechaAnalisis;Especie Oficial;Especie Científico;Especie Inglés;Especie ALFA3;NumMuestra;NombreEstado;Codigo;Criterio edad;Escala madurez;Observaciones;NumPez;TallaTotal;PesoTotal;PesoEvisc;NombreSexo;NombreEstMadSexual;NombreRpl;PesoGonadas;PesoHigado;TieneOtolito;Edad1;Lector1;Edad2;Lector2;EdadFinal;Observaciones1
Itsas Eder (ex Nuevo Bellamar);27.8.b;10/03/2020;Hondarribia;11/03/2020;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;ANE-100320-1;Fresco;;WKARA2, 2016;WKSPMAT, 2008;;1;108;7,18;;Hembra;1;;;;VERDADERO;1;Iñaki;;;1;A
Itsas Eder (ex Nuevo Bellamar);27.8.b;10/03/2020;Hondarribia;11/03/2020;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;ANE-100320-1;Fresco;;WKARA2, 2016;WKSPMAT, 2008;;2;115;8,82;;Hembra;1;;;;VERDADERO;1;Iñaki;;;1;A
Itsas Eder (ex Nuevo Bellamar);27.8.b;10/03/2020;Hondarribia;11/03/2020;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;ANE-100320-1;Fresco;;WKARA2, 2016;WKSPMAT, 2008;;3;130;13,8;;Hembra;1;;0,12;;VERDADERO;1;Iñaki;;;1;A
Itsas Eder (ex Nuevo Bellamar);27.8.b;10/03/2020;Hondarribia;11/03/2020;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;ANE-100320-1;Fresco;;WKARA2, 2016;WKSPMAT, 2008;;4;125;11,59;;Hembra;1;;0,1;;VERDADERO;1;Iñaki;;;1;A
Itsas Eder (ex Nuevo Bellamar);27.8.b;10/03/2020;Hondarribia;11/03/2020;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;ANE-100320-1;Fresco;;WKARA2, 2016;WKSPMAT, 2008;;5;146;18,81;;Hembra;1;;;;VERDADERO;2;Iñaki;;;2;A
Itsas Eder (ex Nuevo Bellamar);27.8.b;10/03/2020;Hondarribia;11/03/2020;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;ANE-100320-1;Fresco;;WKARA2, 2016;WKSPMAT, 2008;;6;121;10,82;;Hembra;1;;;;VERDADERO;1;Iñaki;;;1;A
Itsas Eder (ex Nuevo Bellamar);27.8.b;10/03/2020;Hondarribia;11/03/2020;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;ANE-100320-1;Fresco;;WKARA2, 2016;WKSPMAT, 2008;;7;143;18,01;;Hembra;1;;;;VERDADERO;1;Iñaki;;;1;A
Itsas Eder (ex Nuevo Bellamar);27.8.b;10/03/2020;Hondarribia;11/03/2020;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;ANE-100320-1;Fresco;;WKARA2, 2016;WKSPMAT, 2008;;8;131;13,12;;Hembra;1;;;;VERDADERO;1;Iñaki;;;1;A
Itsas Eder (ex Nuevo Bellamar);27.8.b;10/03/2020;Hondarribia;11/03/2020;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;ANE-100320-1;Fresco;;WKARA2, 2016;WKSPMAT, 2008;;9;109;6,99;;Hembra;1;;;;VERDADERO;1;Iñaki;;;1;A
Itsas Eder (ex Nuevo Bellamar);27.8.b;10/03/2020;Hondarribia;11/03/2020;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;ANE-100320-1;Fresco;;WKARA2, 2016;WKSPMAT, 2008;;10;130;13,51;;Hembra;1;;;;VERDADERO;1;Iñaki;;;1;A
Itsas Eder (ex Nuevo Bellamar);27.8.b;10/03/2020;Hondarribia;11/03/2020;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;ANE-100320-1;Fresco;;WKARA2, 2016;WKSPMAT, 2008;;11;130;13,07;;Hembra;1;;;;VERDADERO;1;Iñaki;;;1;A
Itsas Eder (ex Nuevo Bellamar);27.8.b;10/03/2020;Hondarribia;11/03/2020;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;ANE-100320-1;Fresco;;WKARA2, 2016;WKSPMAT, 2008;;12;127;12,1;;Hembra;1;;;;VERDADERO;1;Iñaki;;;1;A
