"Metier";"Trimestre";"Tamaño2";"Especie_Oficial_Gen";"Especie_Oficial";"Peso"
"FPO_CRU_0_0_0";3;"Desconocido Cd";"Percebe";"Percebe";39
"FPO_CRU_0_0_0";4;"Desconocido Cd";"Percebe";"Percebe";13
"FPO_MOL_0_0_0";2;"Desconocido Cd";"Pulpo comun";"Pulpo comun";355
"FPO_MOL_0_0_0";4;"Desconocido Cd";"Dorada";"Dorada";6
"FPO_MOL_0_0_0";4;"Desconocido Cd";"Lubina";"Lubina";40
"FPO_MOL_0_0_0";4;"Desconocido Cd";"Sargo";"Sargo";37
"GNS_DEF_>=100_0_0";1;"Desconocido Ab";"Bacalao";"Bacalao";82,5
"GNS_DEF_>=100_0_0";1;"Desconocido Ab";"Bocanegra - colayo";"Bocanegra - colayo";312,97
"GNS_DEF_>=100_0_0";1;"Desconocido Ab";"Brotola de fango (Phycis blennoides)";"Brotola de fango (Phycis blennoides)";400,455
"GNS_DEF_>=100_0_0";1;"Desconocido Ab";"Brotola de roca (Phycis phycis)";"Brotola de roca (Phycis phycis)";43,45
"GNS_DEF_>=100_0_0";1;"Desconocido Ab";"Carbonero - fogonero";"Carbonero - fogonero";139,7
"GNS_DEF_>=100_0_0";1;"Desconocido Ab";"Congrio";"Congrio";2,97
"GNS_DEF_>=100_0_0";1;"Desconocido Ab";"Gallos - ollarra";"Gallos - ollarra";2,544
"GNS_DEF_>=100_0_0";1;"Desconocido Ab";"Maruca - Juliana (Molva molva)";"Maruca - Juliana (Molva molva)";1584,11
"GNS_DEF_>=100_0_0";1;"Desconocido Ab";"Merluza europea";"Merluza europea";176419,49958
"GNS_DEF_>=100_0_0";1;"Desconocido Ab";"Rapes Lophius";"Rape blanco";44994,612
"GNS_DEF_>=100_0_0";1;"Desconocido Ab";"Rapes Lophius";"Rape negro";999,12
"GNS_DEF_>=100_0_0";1;"Desconocido Ab";"Rapes Lophius";"Rapes Lophius";8072,28
"GNS_DEF_>=100_0_0";1;"Desconocido Cd";"Besugo";"Besugo";9,2
"GNS_DEF_>=100_0_0";1;"Desconocido Cd";"Cabra (Helicolenus dactylopterus)";"Cabra (Helicolenus dactylopterus)";351
"GNS_DEF_>=100_0_0";1;"Desconocido Cd";"Cherna  Mero Negro (Polyprion americanus)";"Cherna  Mero Negro (Polyprion americanus)";22
"GNS_DEF_>=100_0_0";1;"Desconocido Cd";"Chicharro Negro";"Chicharro Negro";18,4
"GNS_DEF_>=100_0_0";1;"Desconocido Cd";"Lirio - Bacaladilla";"Lirio - Bacaladilla";8,5
"GNS_DEF_>=100_0_0";1;"Desconocido Cd";"Mero moreno";"Mero moreno";3,3
"GNS_DEF_>=100_0_0";1;"Desconocido Cd";"Palometa roja (Beryx decadactylus)";"Palometa roja (Beryx decadactylus)";29,4
"GNS_DEF_>=100_0_0";1;"Desconocido Cd";"Pez de San Pedro";"Pez de San Pedro";4,8
"GNS_DEF_>=100_0_0";1;"Desconocido Cd";"Potas Ommastrephidae nep";"Pota Norteña";5,3
"GNS_DEF_>=100_0_0";1;"Desconocido Cd";"Rascacios, Cabrachos (Scorpaena spp.)";"Cabracho";38,2
"GNS_DEF_>=100_0_0";1;"Desconocido Cd";"Triglidos";"Perlon";30,7
"GNS_DEF_>=100_0_0";2;"Desconocido Ab";"Bacalao";"Bacalao";82,5
"GNS_DEF_>=100_0_0";2;"Desconocido Ab";"Brosmio";"Brosmio";240,9
"GNS_DEF_>=100_0_0";2;"Desconocido Ab";"Brotola de fango (Phycis blennoides)";"Brotola de fango (Phycis blennoides)";35,2
"GNS_DEF_>=100_0_0";2;"Desconocido Ab";"Carbonero - fogonero";"Carbonero - fogonero";141,9
"GNS_DEF_>=100_0_0";2;"Desconocido Ab";"Maruca - Juliana (Molva molva)";"Maruca - Juliana (Molva molva)";8663,93
"GNS_DEF_>=100_0_0";2;"Desconocido Ab";"Merluza europea";"Merluza europea";179886,623
"GNS_DEF_>=100_0_0";2;"Desconocido Ab";"Rapes Lophius";"Rape blanco";1850,04
"GNS_DEF_>=100_0_0";2;"Desconocido Ab";"Rapes Lophius";"Rape negro";7689,72
"GNS_DEF_>=100_0_0";2;"Desconocido Cd";"Buey";"Buey";536,7
"GNS_DEF_>=100_0_0";2;"Desconocido Cd";"Cabra (Helicolenus dactylopterus)";"Cabra (Helicolenus dactylopterus)";503,2
"GNS_DEF_>=100_0_0";2;"Desconocido Cd";"Langosta comun";"Langosta comun";4,5
"GNS_DEF_>=100_0_0";2;"Desconocido Cd";"Pez de San Pedro";"Pez de San Pedro";12
"GNS_DEF_>=100_0_0";2;"Desconocido Cd";"Rascacios, Cabrachos (Scorpaena spp.)";"Cabracho";4,8
"GNS_DEF_>=100_0_0";3;"Desconocido Ab";"Maruca - Juliana (Molva molva)";"Maruca - Juliana (Molva molva)";482,68
"GNS_DEF_>=100_0_0";3;"Desconocido Ab";"Merluza europea";"Merluza europea";161843,22436
"GNS_DEF_>=100_0_0";3;"Desconocido Cd";"Cabra (Helicolenus dactylopterus)";"Cabra (Helicolenus dactylopterus)";3051,47
"GNS_DEF_>=100_0_0";4;"Desconocido Ab";"Bacalao";"Bacalao";145,2
"GNS_DEF_>=100_0_0";4;"Desconocido Ab";"Brotola de fango (Phycis blennoides)";"Brotola de fango (Phycis blennoides)";265,76
"GNS_DEF_>=100_0_0";4;"Desconocido Ab";"Brotola de roca (Phycis phycis)";"Brotola de roca (Phycis phycis)";115,06
"GNS_DEF_>=100_0_0";4;"Desconocido Ab";"Carbonero - fogonero";"Carbonero - fogonero";3,08
"GNS_DEF_>=100_0_0";4;"Desconocido Ab";"Congrio";"Congrio";34,1
"GNS_DEF_>=100_0_0";4;"Desconocido Ab";"Maruca - Juliana (Molva molva)";"Maruca - Juliana (Molva molva)";664,07
"GNS_DEF_>=100_0_0";4;"Desconocido Ab";"Maruca azul - Palo (Molva dypterygia)";"Maruca azul - Palo (Molva dypterygia)";11,11
"GNS_DEF_>=100_0_0";4;"Desconocido Ab";"Merluza europea";"Merluza europea";179337,39722
"GNS_DEF_>=100_0_0";4;"Desconocido Ab";"Rapes Lophius";"Rape blanco";19799,4
"GNS_DEF_>=100_0_0";4;"Desconocido Ab";"Rapes Lophius";"Rape negro";688,2
"GNS_DEF_>=100_0_0";4;"Desconocido Ab";"Rapes Lophius";"Rapes Lophius";193,68
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Besugo";"Besugo";3,8
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Cabra (Helicolenus dactylopterus)";"Cabra (Helicolenus dactylopterus)";7946,47
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Centolla";"Centolla";29,7
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Cherna  Mero Negro (Polyprion americanus)";"Cherna  Mero Negro (Polyprion americanus)";11,1
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Chicharro Negro";"Chicharro Negro";180,1
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Fanecas spp";"Faneca comun";14,6
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Lirio - Bacaladilla";"Lirio - Bacaladilla";39
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Olayo atlantico (DEA)";"Olayo atlantico (DEA)";155
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Palometa roja (Beryx decadactylus)";"Palometa roja (Beryx decadactylus)";7,1
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Pez de San Pedro";"Pez de San Pedro";12,9
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Rascacios, Cabrachos (Scorpaena spp.)";"Cabracho";110,8
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Reloj anaranjado";"Reloj anaranjado";4,3
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Salmonetes (Mullus spp)";"Salmonetes (Mullus spp)";1,5
"GNS_DEF_>=100_0_0";4;"Desconocido Cd";"Triglidos";"Perlon";41
"GNS_DEF_60-79_0_0";1;"Alas";"Rayas spp";"Raya de clavos";1855,788
"GNS_DEF_60-79_0_0";1;"Alas";"Rayas spp";"Rayas spp";948,535
"GNS_DEF_60-79_0_0";1;"Desconocido";"Sargo picudo";"Sargo picudo";98,7
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Abadejo";"Abadejo";43,78
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Bacalao";"Bacalao";3,63
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Bocanegra - colayo";"Bocanegra - colayo";106,862
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Brotola de fango (Phycis blennoides)";"Brotola de fango (Phycis blennoides)";29,81
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Cazon";"Cazon";329,2304
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Congrio";"Congrio";665,5
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Gallos - ollarra";"Gallo boscii";14,84
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Gallos - ollarra";"Gallos - ollarra";588,618
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Maruca - Juliana (Molva molva)";"Maruca - Juliana (Molva molva)";84,92
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Merluza europea";"Merluza europea";9118,36676
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Musola";"Musola";41,72
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Rapes Lophius";"Rape blanco";1679,04
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Rapes Lophius";"Rape negro";7552,92
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Rapes Lophius";"Rapes Lophius";235,2
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Remol - Corujo";"Remol - Corujo";11,76
"GNS_DEF_60-79_0_0";1;"Desconocido Ab";"Rodaballo";"Rodaballo";19,425
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Aguja";"Aguja";0,9
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Aligote";"Aligote";158,6
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Alitan (N1V)";"Alitan (N1V)";42
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Baila";"Baila";8,3
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Besugo";"Besugo";6,1
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Boga";"Boga";500,5
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Bogavante";"Bogavante";6
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Bonito Atlantico";"Bonito Atlantico";114,8
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Breca";"Breca";1328,4
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Buey";"Buey";751,1
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Cabra (Helicolenus dactylopterus)";"Cabra (Helicolenus dactylopterus)";273,1
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Cabrilla";"Cabrilla";18,2
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Calamares Loliginidae";"Calamar comun";1,3
"GNS_DEF_60-79_0_0";1;"Desconocido Cd";"Chicharro Blanco";"Chicharro Blanco";35,2
