"Metier";"Puerto.venta";"Trimestre";"Especie.comercial.Gen";"Especie.comercial";"Especie.muestreada";"Peso";"TripSamp"
"GNS_DEF_>=100_0_0";"Bermeo";1;"Palometa roja (Beryx decadactylus)";"Palometa roja (Beryx decadactylus)";"Palometa roja (Beryx decadactylus)";1,424479821;1
"GNS_DEF_>=100_0_0";"Bermeo";1;"Rapes Lophius";"Rape blanco";"Rape blanco";3916,8;5
"GNS_DEF_>=100_0_0";"Bermeo";1;"Rapes Lophius";"Rape negro";"Rape negro";269,022440257;5
"GNS_DEF_>=100_0_0";"Bermeo";4;"Rapes Lophius";"Rape blanco";"Rape blanco";1627,2;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Chicharro Negro";"Chicharro Negro";"Chicharro Negro";8,167788877;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Chopa";"Chopa";"Chopa";3,117021344;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Estornino del Atlantico";"Estornino del Atlantico";"Estornino del Atlantico";1,505897247;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Fanecas spp";"Faneca comun";"Faneca comun";10,89;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Gallos - ollarra";"Gallos - ollarra";"Gallo whiffiagonis";0,655726593;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Lenguado";"Lenguado";"Lenguado";28,98;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Maragota - durdo";"Maragota - durdo";"Maragota - durdo";2,980872357;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Merluza europea";"Merluza europea";"Merluza europea";247,50540506;2
"GNS_DEF_60-79_0_0";"Bermeo";1;"Pez de San Pedro";"Pez de San Pedro";"Pez de San Pedro";2,5;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Pintarroja";"Pintarroja";"Pintarroja";53,1;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Rapes Lophius";"Rape blanco";"Rape blanco";362,4;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Rapes Lophius";"Rape negro";"Rape negro";112,057435816;2
"GNS_DEF_60-79_0_0";"Bermeo";1;"Rascacios, Cabrachos (Scorpaena spp.)";"Cabracho";"Cabracho";3,513449317;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Rascacios, Cabrachos (Scorpaena spp.)";"Rascacio";"Rascacio";0,4;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Sargo mojarra";"Sargo mojarra";"Sargo breado";0,5;2
"GNS_DEF_60-79_0_0";"Bermeo";1;"Sargo mojarra";"Sargo mojarra";"Sargo mojarra";16,215547127;2
"GNS_DEF_60-79_0_0";"Bermeo";1;"Triglidos";"Bejel";"Bejel";5,3;1
"GNS_DEF_60-79_0_0";"Bermeo";1;"Verdel - Caballa";"Verdel - Caballa";"Verdel - Caballa";20,4;2
"GNS_DEF_60-79_0_0";"Bermeo";1;"Verrugato de fango";"Verrugato de fango";"Verrugato de fango";7,3536048;1
"GNS_DEF_60-79_0_0";"Bermeo";2;"Aligote";"Aligote";"Aligote";9,59;1
"GNS_DEF_60-79_0_0";"Bermeo";2;"Breca";"Breca";"Breca";38,71;1
"GNS_DEF_60-79_0_0";"Bermeo";2;"Escorpora - obispo";"Escorpora - obispo";"Escorpora - obispo";6,822217209;1
"GNS_DEF_60-79_0_0";"Bermeo";2;"Gallos - ollarra";"Gallo whiffiagonis";"Gallo whiffiagonis";1,470829149;2
"GNS_DEF_60-79_0_0";"Bermeo";2;"Lenguado";"Lenguado";"Lenguado";0,424943823;1
"GNS_DEF_60-79_0_0";"Bermeo";2;"Maragota - durdo";"Maragota - durdo";"Maragota - durdo";31,200307537;3
"GNS_DEF_60-79_0_0";"Bermeo";2;"Merluza europea";"Merluza europea";"Merluza europea";14,418118022;2
"GNS_DEF_60-79_0_0";"Bermeo";2;"Musola";"Musola";"Musola";15,1384;1
"GNS_DEF_60-79_0_0";"Bermeo";2;"Musola dentuda - musola estrellada";"Musola dentuda - musola estrellada";"Musola dentuda - musola estrellada";3,77862052;1
"GNS_DEF_60-79_0_0";"Bermeo";2;"Pez de San Pedro";"Pez de San Pedro";"Pez de San Pedro";8,241613146;3
"GNS_DEF_60-79_0_0";"Bermeo";2;"Rapes Lophius";"Rape blanco";"Rape blanco";750,91065555;6
"GNS_DEF_60-79_0_0";"Bermeo";2;"Rapes Lophius";"Rape negro";"Rape negro";1895,437603;6
"GNS_DEF_60-79_0_0";"Bermeo";2;"Rascacios, Cabrachos (Scorpaena spp.)";"Cabracho";"Cabracho";20,055594406;4
"GNS_DEF_60-79_0_0";"Bermeo";2;"Rascacios, Cabrachos (Scorpaena spp.)";"Rascacio";"Rascacio";154,347785231;3
